rel_path,scheme,adapter,seed,encoder,decoder,epochs,nmse,source_self_nmse,loss_code,loss_fc,delta_ratio,gate_mean,gate_std,lowrank_ratio,mlp_ratio,decoder42_self_nmse,adapter_vs_source_nmse_delta,adapter_vs_decoder42_nmse_delta
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,transnet,transnet,100,-29.54,-29.571,1.0614e-06,6.6449e-07,0.0073835,0.022815,0.0032351,0.007562,0.0046667,-29.579,0.03100000000000236,0.03900000000000148
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-29.539,-29.571,1.0897e-06,6.5956e-07,0.007421,0.017371,0.0016737,0.0082743,0.0066386,-29.579,0.03200000000000003,0.03999999999999915
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-29.539,-29.571,1.0897e-06,6.5956e-07,0.007421,0.017371,0.0016737,0.0082743,0.0066386,-29.579,0.03200000000000003,0.03999999999999915
adapter/aux_pca_1e-2/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_1e-2,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-29.216,-29.37,4.9336e-05,1.4777e-05,0.044349,0.084334,0.017327,0.096849,0.10422,-29.339,0.15399999999999991,0.12299999999999756
adapter/aux_pca_5e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_5e-3,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-28.96,-29.316,2.0076e-05,8.1153e-06,0.12379,0.13929,0.034337,0.88826,0.89614,-29.278,0.3559999999999981,0.31799999999999784
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,transnet,transnet,400,-28.947,-29.546,3.1635e-06,1.2907e-06,0.030103,0.035212,0.0039609,0.017384,0.035359,-29.579,0.5990000000000002,0.6320000000000014
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,gated_lowrank_affine_mlp,2026,transnet,transnet,100,-28.945,-29.546,4.8035e-06,2.9231e-06,0.029937,0.036263,0.0068554,0.017791,0.034836,-29.579,0.6009999999999991,0.6340000000000003
adapter/aux_pca_5e-3_code_mean1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_5e-3_code_mean1e-4,gated_lowrank_affine_mlp,3407,transnet,transnet,400,-27.876,-29.408,3.1888e-06,1.7011e-06,0.2183,0.098147,0.027646,1.4482,1.4631,-29.726,1.532,1.8499999999999979
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep3000/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,3000,-27.601,-29.62,1.1928e-05,4.1124e-06,0.7409,0.12365,0.040282,1.1904,1.3124,-29.528,2.019000000000002,1.9269999999999996
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep1000/enc_seed2026_dec_seed42,aux_pca_1e-3,gated_lowrank_affine_mlp,2026,transnet,transnet,1000,-27.478,-29.62,1.6125e-05,5.5915e-06,0.74144,0.12283,0.040326,0.9647,1.154,-29.528,2.1419999999999995,2.049999999999997
