scheme,n,complete,nmse_mean,nmse_std,nmse_min,nmse_max,seed_std_transnet,seed_range_transnet,lambda_anchor,lambda_code_mean,lambda_code_cov
aux_pca_5e-3_code_mean1e-4,2,2,-29.567,0.2248599564173206,-29.726,-29.408,0.2248599564173206,0.31799999999999784,0.005,0.0001,0.0
aux_pca_1e-3,5,5,-29.5082,0.27352275956490296,-29.889,-29.181,0.27352275956490296,0.7079999999999984,0.001,0.0,0.0
aux_pca_5e-3_code_mean1e-4_cov1e-4,2,2,-29.503,0.1866761902332506,-29.635,-29.371,0.1866761902332506,0.2640000000000029,0.005,0.0001,0.0001
aux_pca_1e-2,2,2,-29.3545,0.02192031021678464,-29.37,-29.339,0.02192031021678464,0.03100000000000236,0.01,0.0,0.0
aux_pca_5e-3,2,2,-29.296999999999997,0.02687005768508899,-29.316,-29.278,0.02687005768508899,0.038000000000000256,0.005,0.0,0.0
aux_pca_1e-2_code_mean1e-4_cov1e-4,12,12,-27.607000000000003,2.1898213708801992,-29.579,-22.864,0.017214335111567988,0.03300000000000125,0.01,0.0001,0.0001
baseline,5,5,-27.305600000000005,0.8446468492808112,-28.18,-26.211,0.8446468492808112,1.9690000000000012,0.0,0.0,0.0
aux_pca_1e-2_code_reg_weak,2,2,-27.305500000000002,0.2849640328181802,-27.507,-27.104,0.2849640328181802,0.40300000000000225,0.01,0.0001,0.0001
aux_pca_5e-3_code_reg_weak,2,2,-26.362000000000002,0.3917371567773462,-26.639,-26.085,0.3917371567773462,0.5539999999999985,0.005,0.0001,0.0001
aux_pca_5e-3_code_reg_mid,2,2,-25.4745,0.048790367901871114,-25.509,-25.44,0.048790367901871114,0.06899999999999906,0.005,0.001,0.0001
aux_pca_5e-3_code_reg,3,3,-25.473,0.153792067415716,-25.617,-25.311,0.153792067415716,0.30600000000000094,0.005,0.001,0.0001
codebook1024,5,5,-24.874399999999998,0.5902535895697709,-25.308,-23.838,0.5902535895697709,1.4699999999999989,0.0,0.0,0.0
aux_pca_1e-3_code_reg,3,3,-24.697999999999997,0.1636429039097026,-24.833,-24.516,0.1636429039097026,0.31700000000000017,0.001,0.001,0.0001
aux_dct_1e-3,5,5,-24.611800000000002,0.28696201839267793,-25.072,-24.306,0.28696201839267793,0.7659999999999982,0.001,0.0,0.0
aux_pca_1e-2_code_reg,3,3,-23.772666666666666,2.646295586916423,-25.308,-20.717,2.646295586916423,4.591000000000001,0.01,0.001,0.0001
fixed_q_rank16_code_reg,5,5,-22.305200000000003,0.25481503095382685,-22.741,-22.132,0.25481503095382685,0.6089999999999982,0.0,0.0001,0.0001
fixed_q_rank16,5,5,-22.207600000000003,0.4164520380548045,-22.846,-21.863,0.4164520380548045,0.9830000000000005,0.0,0.0,0.0
fixed_q,5,5,-20.8876,0.6523900673676756,-21.671,-20.025,0.6523900673676756,1.6460000000000008,0.0,0.0,0.0
codebook1024_dct_reg,5,5,-14.909799999999999,0.10780862674201942,-15.073,-14.799,0.10780862674201942,0.2740000000000009,0.001,0.0001,0.0001
fixed_q_rank16_pca,5,5,-13.073400000000001,0.07418423013012901,-13.123,-12.944,0.07418423013012901,0.1789999999999985,0.001,0.0,0.0
