rel_path,exp_dir,scheme,family,seed,encoder,decoder,adapter,epochs,batch_size,lr_init,weight_decay,pretrained_encoder,pretrained_decoder,teacher_code,lambda_recon,lambda_code,lambda_fc,lambda_recT,anchor_target,lambda_anchor,anchor_loss,lambda_code_mean,lambda_code_var,lambda_code_cov,lambda_code_l1,canonical_head,codewords_path,codewords_exists,best_ckpt_exists,log_lines,crashed,has_runtime_error,loaded_best_before_export,saved_codewords,best_nmse,best_epoch,latest_test_nmse,final_test_loss,final_test_nmse,complete,before_train_test_nmse,last_seen_epoch,target_epochs,last_train_recon_loss,last_code_loss,last_fc_loss,last_total_loss,last_adapter_rank,last_adapter_gate_mean,last_adapter_gate_std,last_adapter_down_norm,last_adapter_up_norm,last_adapter_bias_norm,last_adapter_W1_norm,last_adapter_W2_norm,last_adapter_lowrank_ratio,last_adapter_mlp_ratio,last_adapter_delta_ratio,last_val_recon_loss,last_adapter_gamma_mean,last_adapter_gamma_std,last_adapter_linear_norm,last_adapter_linear_ratio,last_adapter_W1_mean,last_adapter_W1_std,last_adapter_W2_mean,last_adapter_W2_std,last_teacher_recon_loss,last_anchor_loss,last_code_reg_loss
adapter/aux_pca_1e-2/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42,aux_pca_1e-2,adapter/aux_pca_1e-2/gated_lowrank_affine_mlp,3407,transnet,transnet,gated_lowrank_affine_mlp,400,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2/seed3407_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep400/enc_seed3407_dec_seed42/codewords/train_code.pt,True,True,10234,False,False,True,True,-29.216,370,-29.216,5.4146e-07,-29.216,True,-29.216,400.0,400.0,5.0079e-07,4.9336e-05,1.4777e-05,5.3807e-07,32.0,0.084334,0.017327,4.9796,1.3074,1.4361,57.55,11.278,0.096849,0.10422,0.044349,5.3807e-07,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,2026,clnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed2026_clnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_clnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2698,False,False,True,True,-24.366,100,-24.366,1.6494e-06,-24.366,True,-24.366,100.0,100.0,1.175e-06,7.7603e-05,3.5599e-05,1.6441e-06,32.0,0.20897,0.054067,6.0141,2.5875,2.7626,63.226,20.199,1.4028,1.461,0.42011,1.6441e-06,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,2026,crnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed2026_crnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_crnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2677,False,False,True,True,-26.365,100,-26.365,1.0416e-06,-26.365,True,-26.365,100.0,100.0,9.4859e-07,5.4861e-05,2.4805e-05,1.05e-06,32.0,0.19611,0.051938,5.9186,2.2639,2.6243,61.076,18.955,1.3744,1.4218,0.37598,1.05e-06,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,2026,csinet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed2026_csinet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_csinet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2642,False,False,True,True,-23.633,100,-23.633,1.9543e-06,-23.633,True,-23.633,100.0,100.0,1.967e-06,0.00023421,9.2158e-05,1.948e-06,32.0,0.22003,0.071061,5.2186,2.2208,3.2164,73.647,17.247,3.2841,5.4802,4.4106,1.948e-06,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,2026,transnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed2026_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed2026_transnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2674,False,False,True,True,-28.945,100,-28.945,5.7587e-07,-28.945,True,-28.945,100.0,100.0,5.1153e-07,4.8035e-06,2.9231e-06,5.7305e-07,32.0,0.036263,0.0068554,5.1719,0.16077,0.02277,60.529,3.778,0.017791,0.034836,0.029937,5.7305e-07,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,3407,clnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed3407_clnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_clnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2698,False,False,True,True,-24.484,100,-24.484,1.6053e-06,-24.484,True,-24.484,100.0,100.0,1.1595e-06,7.5085e-05,3.4156e-05,1.6157e-06,32.0,0.20108,0.055131,5.6907,2.6329,3.1499,61.826,20.221,1.2623,1.3195,0.40271,1.6157e-06,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,3407,crnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed3407_crnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_crnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2677,False,False,True,True,-24.108,100,-24.108,1.7546e-06,-24.108,True,-24.108,100.0,100.0,1.3751e-06,0.00012165,5.2047e-05,1.764e-06,32.0,0.10108,0.030554,3.4322,2.3919,1.6357,57.787,18.646,0.45033,0.57189,0.43604,1.764e-06,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,3407,csinet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed3407_csinet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_csinet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2642,False,False,True,True,-16.522,100,-16.522,1.0042e-05,-16.522,True,-16.522,100.0,100.0,7.4942e-06,0.00098424,0.00040167,1.0122e-05,32.0,0.21444,0.061616,6.4982,3.6697,2.2111,69.077,27.704,1.3325,1.4273,0.52901,1.0122e-05,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,3407,transnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed3407_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed3407_transnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2674,False,False,True,True,-29.54,100,-29.54,5.0241e-07,-29.54,True,-29.54,100.0,100.0,4.6757e-07,1.0614e-06,6.6449e-07,5.0045e-07,32.0,0.022815,0.0032351,6.0308,0.047138,0.024521,60.586,1.2977,0.007562,0.0046667,0.0073835,5.0045e-07,,,,,,,,,,,
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet,aux_pca_1e-2_code_mean1e-4_cov1e-4,adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,42,clnet,transnet,gated_lowrank_affine_mlp,100,256,0.0005,0.001,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_clnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/checkpoints/best_nmse.pth,exps/COST2100/in/encoder_canonical/aux_pca_1e-2_code_mean1e-4_cov1e-4/seed42_transnet_transnet/codewords/train_code.pt,1.0,0.001,0.01,0.0,none,0.0,mse,0.0,0.0,0.0,0.0,none,exps/COST2100/in/encoder_canonical/adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp/rank32_hidden2048_gate0.1_code1e-3_fc1e-2_lr5e-4_ep100/enc_seed42_clnet_transnet_dec_seed42_transnet_transnet/codewords/train_code.pt,True,True,2698,False,False,True,True,-23.712,90,-23.712,1.9197e-06,-23.712,True,-23.712,100.0,100.0,1.4182e-06,9.7794e-05,4.8614e-05,2.0055e-06,32.0,0.23664,0.059576,6.535,2.9889,2.2394,67.124,21.27,1.6035,1.6686,0.4779,2.0055e-06,,,,,,,,,,,
