family,scheme,n,complete,codewords,crashed,best_nmse_mean,best_nmse_min,best_nmse_max,final_nmse_mean
adapter/aux_pca_1e-2/gated_lowrank_affine_mlp,aux_pca_1e-2,1,1,1,0,-29.216,-29.216,-29.216,-29.216
adapter/aux_pca_1e-2_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_1e-2_code_mean1e-4_cov1e-4,23,23,23,0,-25.229000000000003,-29.54,-16.522,-25.229000000000003
adapter/aux_pca_1e-2_code_reg_weak/gated_lowrank_affine_mlp,aux_pca_1e-2_code_reg_weak,1,1,1,0,-14.379,-14.379,-14.379,-14.379
adapter/aux_pca_1e-3/diag_affine,aux_pca_1e-3,1,1,1,0,-12.535,-12.535,-12.535,-11.771
adapter/aux_pca_1e-3/gated_lowrank_affine_linear,aux_pca_1e-3,2,0,2,2,-21.061,-21.935,-20.187,
adapter/aux_pca_1e-3/gated_lowrank_affine_mlp,aux_pca_1e-3,9,4,9,4,-26.985333333333333,-27.601,-25.879,-27.12625
adapter/aux_pca_1e-3/lowrank_affine,aux_pca_1e-3,1,1,1,0,-11.259,-11.259,-11.259,-11.091
adapter/aux_pca_1e-3/lowrank_affine_mlp,aux_pca_1e-3,1,1,1,0,-26.573,-26.573,-26.573,-26.49
adapter/aux_pca_1e-3/mlp,aux_pca_1e-3,9,9,9,0,-23.27177777777778,-24.884,-12.571,-23.153777777777776
adapter/aux_pca_5e-3/gated_lowrank_affine_mlp,aux_pca_5e-3,1,1,1,0,-28.96,-28.96,-28.96,-28.96
adapter/aux_pca_5e-3_code_mean1e-4/gated_lowrank_affine_mlp,aux_pca_5e-3_code_mean1e-4,1,1,1,0,-27.876,-27.876,-27.876,-27.876
adapter/aux_pca_5e-3_code_mean1e-4_cov1e-4/gated_lowrank_affine_mlp,aux_pca_5e-3_code_mean1e-4_cov1e-4,1,1,1,0,-26.778,-26.778,-26.778,-26.778
adapter/aux_pca_5e-3_code_reg/mlp,aux_pca_5e-3_code_reg,1,1,1,0,-16.703,-16.703,-16.703,-16.663
adapter/aux_pca_5e-3_code_reg_mid/gated_lowrank_affine_mlp,aux_pca_5e-3_code_reg_mid,1,1,1,0,-23.191,-23.191,-23.191,-23.191
adapter/aux_pca_5e-3_code_reg_weak/gated_lowrank_affine_mlp,aux_pca_5e-3_code_reg_weak,1,1,1,0,-22.57,-22.57,-22.57,-22.57
encoder,aux_pca_1e-3,5,5,5,0,-29.5082,-29.889,-29.181,-29.5082
encoder,aux_pca_5e-3_code_mean1e-4,2,2,2,0,-29.567,-29.726,-29.408,-29.567
encoder,aux_pca_5e-3_code_mean1e-4_cov1e-4,2,2,2,0,-29.503,-29.635,-29.371,-29.503
encoder,aux_pca_1e-2_code_mean1e-4_cov1e-4,12,12,12,0,-27.607,-29.579,-22.864,-27.607
encoder,aux_pca_1e-2,2,2,2,0,-29.3545,-29.37,-29.339,-29.3545
encoder,aux_pca_5e-3,2,2,2,0,-29.296999999999997,-29.316,-29.278,-29.296999999999997
encoder,baseline,5,5,5,0,-27.3056,-28.18,-26.211,-27.3056
encoder,aux_pca_1e-2_code_reg_weak,2,2,2,0,-27.305500000000002,-27.507,-27.104,-27.305500000000002
encoder,aux_pca_5e-3_code_reg_weak,2,2,2,0,-26.362000000000002,-26.639,-26.085,-26.362000000000002
encoder,aux_pca_5e-3_code_reg,3,3,3,0,-25.473,-25.617,-25.311,-25.390666666666664
encoder,aux_pca_5e-3_code_reg_mid,2,2,2,0,-25.4745,-25.509,-25.44,-25.4745
encoder,aux_pca_1e-2_code_reg,3,3,3,0,-23.772666666666666,-25.308,-20.717,-23.55666666666667
encoder,codebook1024,5,5,5,0,-24.8744,-25.308,-23.838,-24.866400000000002
encoder,aux_dct_1e-3,5,5,5,0,-24.6118,-25.072,-24.306,-24.5942
encoder,aux_pca_1e-3_code_reg,3,3,3,0,-24.697999999999997,-24.833,-24.516,-24.68133333333333
encoder,fixed_q_rank16,5,5,5,0,-22.2076,-22.846,-21.863,-22.2076
encoder,fixed_q_rank16_code_reg,5,5,5,0,-22.305200000000003,-22.741,-22.132,-22.305200000000003
encoder,fixed_q,5,5,5,0,-20.8876,-21.671,-20.025,-20.886599999999998
encoder,codebook1024_dct_reg,5,5,5,0,-14.9098,-15.073,-14.799,-14.8084
encoder,fixed_q_rank16_pca,5,5,5,0,-13.073400000000001,-13.123,-12.944,-12.911599999999998
