sigma_rel_tensor_rms,global_param_mse,nmse_db,delta_nmse_db,mse_sum_per_sample,num_samples
0.0,0.0,-29.103250993281282,0.0,0.001136547242230261,100000
1e-05,1.795936002826821e-13,-29.10099481277575,0.002256180505533223,0.0011371378373276663,100000
2e-05,7.257306611437598e-13,-29.10183840704296,0.001412586238323854,0.0011369169757144628,100000
5e-05,4.482536627592975e-12,-29.09589864962569,0.007352343655593785,0.0011384729777833237,100000
0.0001,1.799535433106155e-11,-29.047212070681333,0.05603892259994936,0.0011513076351062522,100000
0.0002,7.213741376854004e-11,-28.882228619569418,0.22102237371186462,0.0011958858572758255,100000
0.0005,4.482859525471156e-10,-27.896772067329813,1.206478925951469,0.0015004978763639952,100000
0.001,1.782442559287867e-09,-25.666053732705265,3.437197260576017,0.00250788269414968,100000
0.002,7.1686980713387725e-09,-21.98685532560877,7.1163956676725135,0.005850959059747734,100000
0.005,4.563633774025307e-08,-14.342259433183205,14.760991560098077,0.034016266750120136,100000
0.01,1.7848776049166782e-07,-8.458170810087998,20.645080183193286,0.13185466838621754,100000
