scope,selected_tensors,selected_params,sigma_rel_tensor_rms,scoped_param_mse,global_param_mse,nmse_db,delta_nmse_db,mse_sum_per_sample,num_samples
fc,2,1050624,0.0,0.0,0.0,-29.103250993281282,0.0,0.001136547242230261,100000
fc,2,1050624,1e-05,9.107723856350938e-14,5.81127156505974e-14,-29.10325121027993,-2.169986466071805e-07,0.0011365471854417875,100000
fc,2,1050624,2e-05,3.639992426042671e-13,2.3225324807958833e-13,-29.103239474202258,1.1519079023969425e-05,0.0011365502567734812,100000
fc,2,1050624,5e-05,2.2763482056313687e-12,1.4524460565782242e-12,-29.103260604244223,-9.610962941053458e-06,0.0011365447270471776,100000
fc,2,1050624,0.0001,9.115679560280128e-12,5.816347779133963e-12,-29.103235403519246,1.55897620359724e-05,0.0011365513220732224,100000
fc,2,1050624,0.0002,3.6370521759731145e-11,2.320656425714189e-11,-29.10316712069829,8.387258299080713e-05,0.001136569191869815,100000
fc,2,1050624,0.0005,2.2744082667690683e-10,1.4512082597668308e-10,-29.1031010406965,0.0001499525847812322,0.001136586485450264,100000
fc,2,1050624,0.001,9.100736893563849e-10,5.806813465669471e-10,-29.10325496748773,-3.974206446599737e-06,0.0011365462021822059,100000
fc,2,1050624,0.002,3.644407932463274e-09,2.3253498375045518e-09,-29.10069387279396,0.0025571204873209297,0.0011372166368775445,100000
fc,2,1050624,0.005,2.2801192793502578e-08,1.4548522267496049e-08,-29.091304456566785,0.011946536714496858,0.0011396779509805623,100000
fc,2,1050624,0.01,9.090345491724778e-08,5.8001831309139445e-08,-29.060700325547096,0.042550667734186476,0.0011477374675519735,100000
ffn,8,528512,0.0,0.0,0.0,-29.103250993281282,0.0,0.001136547242230261,100000
ffn,8,528512,1e-05,1.8322904383604425e-13,5.881162328972533e-14,-29.103159993701567,9.099957971514527e-05,0.0011365710570400834,100000
ffn,8,528512,2e-05,7.337045776333504e-13,2.3549954921082895e-13,-29.103207337241418,4.3656039864004015e-05,0.0011365586670590716,100000
ffn,8,528512,5e-05,4.581611353931934e-12,1.4705747263980844e-12,-29.103139396355353,0.00011159692592954684,0.0011365764474845976,100000
ffn,8,528512,0.0001,1.824603465784971e-11,5.85648920260117e-12,-29.103826743284884,-0.0005757500036018826,0.0011363965786292181,100000
ffn,8,528512,0.0002,7.3320672718393e-11,2.3533975252973e-11,-29.10279612181279,0.0004548714684915467,0.0011366662881793703,100000
ffn,8,528512,0.0005,4.574980029016644e-10,1.468446248430482e-10,-29.103047146058977,0.0002038472223055976,0.001136600590233835,100000
ffn,8,528512,0.001,1.8266458566424477e-09,5.863044731091936e-10,-29.104852247868358,-0.0016012545870758288,0.0011361282716697329,100000
ffn,8,528512,0.002,7.323385877405443e-09,2.3506110298357487e-09,-29.084401666559646,0.018849326721635862,0.001141490825236882,100000
ffn,8,528512,0.005,4.576569600639367e-08,1.468956458414175e-08,-28.859680866695975,0.24357012658530763,0.0012021108172059916,100000
ffn,8,528512,0.01,1.828723371803911e-07,5.869712999205806e-08,-28.494625544965896,0.6086254483153866,0.0013075251083137036,100000
