scope,selected_tensors,selected_params,sigma_rel_tensor_rms,scoped_param_mse,global_param_mse,nmse_db,delta_nmse_db,mse_sum_per_sample,num_samples
fc,2,1050624,0.0,0.0,0.0,-29.103250993281282,0.0,0.001136547242230261,100000
fc,2,1050624,0.01,9.107730748052247e-08,5.8112759623766204e-08,-29.06060143651779,0.042649556763493024,0.0011477636018781018,100000
fc,2,1050624,0.012,1.3103949866979757e-07,8.361102340498278e-08,-29.035094090675734,0.06815690260554774,0.0011545245779514483,100000
fc,2,1050624,0.015,2.04871057755889e-07,1.307199659561829e-07,-29.013458247377972,0.08979274590330988,0.0011602905819611067,100000
fc,2,1050624,0.02,3.6462704408087897e-07,2.3265382290235188e-07,-28.93224026252271,0.17101073075857087,0.0011821934957326138,100000
fc,2,1050624,0.03,8.183366858345118e-07,5.221476614839609e-07,-28.73441994268156,0.36883105059972365,0.0012372874207783313,100000
fc,2,1050624,0.05,2.2744081605295978e-06,1.4512081919797062e-06,-28.157843043460144,0.9454079498211385,0.001412954859785554,100000
fc,2,1050624,0.08,5.824470580278076e-06,3.716359959804295e-06,-27.036056581734496,2.0671944115467866,0.0018293926659787734,100000
fc,2,1050624,0.1,9.11102013996726e-06,5.813374790800005e-06,-26.06618533131091,3.0370656619703738,0.0022871468954113313,100000
ffn,8,528512,0.0,0.0,0.0,-29.103250993281282,0.0,0.001136547242230261,100000
ffn,8,528512,0.01,1.8315492125143949e-07,5.8787831922201e-08,-28.339825019323477,0.7634259739578049,0.001354971279742375,100000
ffn,8,528512,0.012,2.6463601276356744e-07,8.494108338780861e-08,-28.1763882648885,0.9268627283927806,0.0014069341309425366,100000
ffn,8,528512,0.015,4.110053267757175e-07,1.3192171908091864e-07,-26.938842653905567,2.164408339375715,0.0018708041578412208,100000
ffn,8,528512,0.02,7.312563368903734e-07,2.347137294014577e-07,-26.060446819970142,3.04280417331114,0.002290170994023175,100000
ffn,8,528512,0.03,1.647944131752846e-06,5.289459981349115e-07,-24.269309163242948,4.833941830038334,0.0034592478167928893,100000
ffn,8,528512,0.05,4.583309543673449e-06,1.4711197998933202e-06,-19.52515890698104,9.578092086300241,0.010313277444170939,100000
ffn,8,528512,0.08,1.1736243394861685e-05,3.767020287421012e-06,-18.085915108879185,11.017335884402097,0.01436551106383247,100000
ffn,8,528512,0.1,1.826033154973488e-05,5.861078122578926e-06,-18.05964225914376,11.043608734137521,0.014452679299620247,100000
