encoder,count,std_global_mean,l2_mean_mean,effective_rank_mean,top5_pca_mean,near_zero_1e_3_mean,final_test_nmse_mean
attention_cnn,3,2.6917059222857156,60.82889207204183,159.85106913248697,0.15214621524016061,0.0016689843808611233,nan
cbam_cnn,3,6.39478874206543,144.5801213582357,151.66717020670572,0.16273188094298044,0.0008088541799224913,nan
clnet,3,3.8729728062947593,87.53127606709798,181.69018046061197,0.13568422695000967,0.0011884179742385943,nan
cnn,3,6.068042874336243,137.20124753316244,150.72344462076822,0.16299588978290558,0.0008351041857774059,nan
convnext,3,11.373017311096191,256.85090891520184,119.05451647440593,0.31648073097070056,0.0004970572869448612,nan
crnet,3,3.9285058776537576,88.75480779012044,177.60564168294272,0.12913220872481665,0.001200540359908094,nan
csinet,3,3.9222139517466226,88.4707883199056,179.53638712565103,0.16381385425726572,0.0009220898306618134,nan
dscnn,3,5.054881890614827,114.23879496256511,153.22870381673178,0.16490244368712106,0.0008814843798366686,nan
mlp_ae,3,4.316888491312663,97.65676959355672,180.82870483398438,0.1732062747081121,0.0035123372993742428,nan
mlp_mixer,3,4.355072647333145,98.48903274536133,210.3067423502604,0.11687963704268138,0.0017888020956888795,nan
resnet,3,8.336964329083761,188.4654655456543,150.63159942626953,0.16521583000818887,0.0007565299359460672,nan
sparse_resnet,3,8.059854785601297,182.20608266194662,146.50158182779947,0.17295521249373755,0.0007657682290300727,nan
swin,3,2.636423707008362,59.58753887812296,185.3608144124349,0.12272098908821742,0.0021807681769132614,nan
transnet,3,4.82854429880778,109.18357849121094,178.16307067871094,0.15773499757051468,0.0010703385729963581,nan
