model,metric,K,relative_error_mean,relative_error_std
attention_cnn_hybrid,effective_rank,16,0.9181885686791036,0.002419918898921431
attention_cnn_hybrid,effective_rank,32,0.8438241830758073,0.006400213689445348
attention_cnn_hybrid,effective_rank,64,0.7290297388195882,0.005897685394431175
attention_cnn_hybrid,effective_rank,128,0.5628744102154387,0.011131263208635838
attention_cnn_hybrid,effective_rank,256,0.39220866131585674,0.008568299258001053
attention_cnn_hybrid,effective_rank,512,0.23781222589695855,0.014617373407274337
attention_cnn_hybrid,effective_rank,1024,0.12788816948227527,0.014975998616557748
attention_cnn_hybrid,pca_top5_ratio,16,2.7210163253894692,0.14694574591169732
attention_cnn_hybrid,pca_top5_ratio,32,1.4579444981619019,0.18330657482579737
attention_cnn_hybrid,pca_top5_ratio,64,0.7939366086384615,0.08143461929124349
attention_cnn_hybrid,pca_top5_ratio,128,0.3694665088788681,0.0694433801967254
attention_cnn_hybrid,pca_top5_ratio,256,0.19584531294936075,0.041071150084607704
attention_cnn_hybrid,pca_top5_ratio,512,0.09718071803194903,0.03932013957864093
attention_cnn_hybrid,pca_top5_ratio,1024,0.0526823558580823,0.018921068399520864
attention_cnn_hybrid,std_global,16,0.013541843556463548,0.011766949648485996
attention_cnn_hybrid,std_global,32,0.01057135798235953,0.007733781655511974
attention_cnn_hybrid,std_global,64,0.00971100132037878,0.0047871474740221655
attention_cnn_hybrid,std_global,128,0.005479694164942721,0.003237773529769609
attention_cnn_hybrid,std_global,256,0.004155575235026446,0.003713798996372414
attention_cnn_hybrid,std_global,512,0.0038537150035250303,0.0020790900111639795
attention_cnn_hybrid,std_global,1024,0.0020741941403343285,0.0010643554351013286
attention_cnn_hybrid,l2_mean,16,0.012731866602331787,0.011052652573178204
attention_cnn_hybrid,l2_mean,32,0.010144737380757768,0.0075029676076668805
attention_cnn_hybrid,l2_mean,64,0.009183439962723795,0.0043156740937373385
attention_cnn_hybrid,l2_mean,128,0.005145901112260533,0.0029017178461614684
attention_cnn_hybrid,l2_mean,256,0.004022152756088776,0.003673714385652281
attention_cnn_hybrid,l2_mean,512,0.003849064944037394,0.0020891732833991095
attention_cnn_hybrid,l2_mean,1024,0.002000985721980404,0.0010737920831009131
attention_cnn_hybrid,pca_top1_ratio,16,3.0619474569240905,0.3336302574166057
attention_cnn_hybrid,pca_top1_ratio,32,1.6653195988209137,0.3550786091222078
attention_cnn_hybrid,pca_top1_ratio,64,0.8473643161189349,0.15614301472661649
attention_cnn_hybrid,pca_top1_ratio,128,0.4454781079727696,0.1275472914534077
attention_cnn_hybrid,pca_top1_ratio,256,0.19554779677662035,0.06243841133154074
attention_cnn_hybrid,pca_top1_ratio,512,0.10901892553260842,0.08212535456907646
attention_cnn_hybrid,pca_top1_ratio,1024,0.0743552877371346,0.04062721772465504
attention_cnn_hybrid,near_zero_1e_3,16,0.23554448406200512,0.18138342317180203
attention_cnn_hybrid,near_zero_1e_3,32,0.1822277579689974,0.056686864011135006
attention_cnn_hybrid,near_zero_1e_3,64,0.07191530307433944,0.06023601448921626
attention_cnn_hybrid,near_zero_1e_3,128,0.08638220530402552,0.03714302020794383
attention_cnn_hybrid,near_zero_1e_3,256,0.05985676255219169,0.022978212125400323
attention_cnn_hybrid,near_zero_1e_3,512,0.05937713492969211,0.04023111984144363
attention_cnn_hybrid,near_zero_1e_3,1024,0.04136926208355376,0.02307616635608025
transnet_hybrid,effective_rank,16,0.9287922866885008,0.0028113755508755484
transnet_hybrid,effective_rank,32,0.8629226261494696,0.0025705032560660547
transnet_hybrid,effective_rank,64,0.7529356718852167,0.004790657272431852
transnet_hybrid,effective_rank,128,0.5995408044180127,0.011479432707999164
transnet_hybrid,effective_rank,256,0.4157971980769449,0.017716558574169042
transnet_hybrid,effective_rank,512,0.24465809545892672,0.01621024018808071
transnet_hybrid,effective_rank,1024,0.13907833142406617,0.012615337652756995
transnet_hybrid,pca_top5_ratio,16,2.8768234133999777,0.22281871538158143
transnet_hybrid,pca_top5_ratio,32,1.5444976253713218,0.06261043778363148
transnet_hybrid,pca_top5_ratio,64,0.7680554679056146,0.06607051896161172
transnet_hybrid,pca_top5_ratio,128,0.40296798667307226,0.07654400158123682
transnet_hybrid,pca_top5_ratio,256,0.19593638963364346,0.05834622140457039
transnet_hybrid,pca_top5_ratio,512,0.08045902498512564,0.02913600631650443
transnet_hybrid,pca_top5_ratio,1024,0.048369395729544865,0.02283448396332855
transnet_hybrid,std_global,16,0.01030855837667488,0.006940497556234386
transnet_hybrid,std_global,32,0.007182201536661113,0.0059221990364064095
transnet_hybrid,std_global,64,0.004177650550870875,0.0031601072364616616
transnet_hybrid,std_global,128,0.004880507252572109,0.004140720924971039
transnet_hybrid,std_global,256,0.002168150128627693,0.0015872448457695783
transnet_hybrid,std_global,512,0.002033895159298324,0.0015909741416895759
transnet_hybrid,std_global,1024,0.000978306947988367,0.0008006713071184393
transnet_hybrid,l2_mean,16,0.01001075090506709,0.006585677058767133
