I 05.31/07:01:20 main.py:23  ] => Experiment directory: /storage/hujiacong/zxd/Huawei/UniversalCSI/exps/seed42/COST2100/in/convnext_transnet/base
I 05.31/07:01:20 main.py:24  ] => PyTorch Version: 2.5.1
I 05.31/07:01:20 init.py:13  ] Random seed set to 42
I 05.31/07:01:20 init.py:53  ] Running on GPU 0
I 05.31/07:01:32 init.py:88  ] => Model Name: UniversalCSI [pretrained: None]
I 05.31/07:01:32 init.py:89  ] => Model Config: compression ratio=1/4; encoder=convnext; decoder=transnet; code_adapter=False; input shape=(2, 32, 32); input dim=2048
I 05.31/07:01:32 init.py:95  ] => Model Flops: 2.9037e+01M
I 05.31/07:01:32 init.py:96  ] => Model Params Num: 3.7457e+00M

I 05.31/07:01:32 init.py:97  ] 
**********
UniversalCSIModel(
  (encoder): ConvNeXtCsiEncoder(
    (features): Sequential(
      (stem): Conv2d(2, 16, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
      (stage1_block1): ConvNeXtBlock(
        (dwconv): Conv2d(16, 16, kernel_size=(7, 7), stride=(1, 1), padding=(3, 3), groups=16)
        (norm): GroupNorm(1, 16, eps=1e-05, affine=True)
        (pwconv): Sequential(
          (conv1): Conv2d(16, 64, kernel_size=(1, 1), stride=(1, 1))
          (gelu): GELU(approximate='none')
          (conv2): Conv2d(64, 16, kernel_size=(1, 1), stride=(1, 1))
        )
      )
      (down1): Conv2d(16, 32, kernel_size=(2, 2), stride=(2, 2))
      (stage2_block1): ConvNeXtBlock(
        (dwconv): Conv2d(32, 32, kernel_size=(7, 7), stride=(1, 1), padding=(3, 3), groups=32)
        (norm): GroupNorm(1, 32, eps=1e-05, affine=True)
        (pwconv): Sequential(
          (conv1): Conv2d(32, 128, kernel_size=(1, 1), stride=(1, 1))
          (gelu): GELU(approximate='none')
          (conv2): Conv2d(128, 32, kernel_size=(1, 1), stride=(1, 1))
        )
      )
      (down2): Conv2d(32, 64, kernel_size=(2, 2), stride=(2, 2))
      (stage3_block1): ConvNeXtBlock(
        (dwconv): Conv2d(64, 64, kernel_size=(7, 7), stride=(1, 1), padding=(3, 3), groups=64)
        (norm): GroupNorm(1, 64, eps=1e-05, affine=True)
        (pwconv): Sequential(
          (conv1): Conv2d(64, 256, kernel_size=(1, 1), stride=(1, 1))
          (gelu): GELU(approximate='none')
          (conv2): Conv2d(256, 64, kernel_size=(1, 1), stride=(1, 1))
        )
      )
    )
    (head_norm): LayerNorm((4096,), eps=1e-05, elementwise_affine=True)
    (fc): Linear(in_features=4096, out_features=512, bias=True)
  )
  (code_adapter): CodeAdapter(
    (net): Identity()
  )
  (decoder): TransNetDecoder(
    (fc_decoder): Linear(in_features=512, out_features=2048, bias=True)
    (decoder): TransformerDecoder(
      (layers): ModuleList(
        (0-1): 2 x TransformerDecoderLayer(
          (self_attn): MultiheadAttention(
            (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
          )
          (multihead_attn): MultiheadAttention(
            (out_proj): NonDynamicallyQuantizableLinear(in_features=64, out_features=64, bias=True)
          )
          (linear1): Linear(in_features=64, out_features=2048, bias=True)
          (dropout): Dropout(p=0.0, inplace=False)
          (linear2): Linear(in_features=2048, out_features=64, bias=True)
          (norm1): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (norm2): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (norm3): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
          (dropout1): Dropout(p=0.0, inplace=False)
          (dropout2): Dropout(p=0.0, inplace=False)
          (dropout3): Dropout(p=0.0, inplace=False)
        )
      )
      (norm): LayerNorm((64,), eps=1e-05, elementwise_affine=True)
    )
  )
)
**********

I 05.31/07:01:32 init.py:33  ] 
encoder.features.stem.weight                                      True       (16, 2, 3, 3)
encoder.features.stem.bias                                        True               (16,)
encoder.features.stage1_block1.dwconv.weight                      True       (16, 1, 7, 7)
encoder.features.stage1_block1.dwconv.bias                        True               (16,)
encoder.features.stage1_block1.norm.weight                        True               (16,)
encoder.features.stage1_block1.norm.bias                          True               (16,)
encoder.features.stage1_block1.pwconv.conv1.weight                True      (64, 16, 1, 1)
encoder.features.stage1_block1.pwconv.conv1.bias                  True               (64,)
encoder.features.stage1_block1.pwconv.conv2.weight                True      (16, 64, 1, 1)
encoder.features.stage1_block1.pwconv.conv2.bias                  True               (16,)
encoder.features.down1.weight                                     True      (32, 16, 2, 2)
encoder.features.down1.bias                                       True               (32,)
encoder.features.stage2_block1.dwconv.weight                      True       (32, 1, 7, 7)
encoder.features.stage2_block1.dwconv.bias                        True               (32,)
encoder.features.stage2_block1.norm.weight                        True               (32,)
encoder.features.stage2_block1.norm.bias                          True               (32,)
encoder.features.stage2_block1.pwconv.conv1.weight                True     (128, 32, 1, 1)
encoder.features.stage2_block1.pwconv.conv1.bias                  True              (128,)
encoder.features.stage2_block1.pwconv.conv2.weight                True     (32, 128, 1, 1)
encoder.features.stage2_block1.pwconv.conv2.bias                  True               (32,)
encoder.features.down2.weight                                     True      (64, 32, 2, 2)
encoder.features.down2.bias                                       True               (64,)
encoder.features.stage3_block1.dwconv.weight                      True       (64, 1, 7, 7)
encoder.features.stage3_block1.dwconv.bias                        True               (64,)
encoder.features.stage3_block1.norm.weight                        True               (64,)
encoder.features.stage3_block1.norm.bias                          True               (64,)
encoder.features.stage3_block1.pwconv.conv1.weight                True     (256, 64, 1, 1)
encoder.features.stage3_block1.pwconv.conv1.bias                  True              (256,)
encoder.features.stage3_block1.pwconv.conv2.weight                True     (64, 256, 1, 1)
encoder.features.stage3_block1.pwconv.conv2.bias                  True               (64,)
encoder.head_norm.weight                                          True             (4096,)
encoder.head_norm.bias                                            True             (4096,)
encoder.fc.weight                                                 True         (512, 4096)
encoder.fc.bias                                                   True              (512,)
decoder.fc_decoder.weight                                         True         (2048, 512)
decoder.fc_decoder.bias                                           True             (2048,)
decoder.decoder.layers.0.self_attn.in_proj_weight                 True           (192, 64)
decoder.decoder.layers.0.self_attn.in_proj_bias                   True              (192,)
decoder.decoder.layers.0.self_attn.out_proj.weight                True            (64, 64)
decoder.decoder.layers.0.self_attn.out_proj.bias                  True               (64,)
decoder.decoder.layers.0.multihead_attn.in_proj_weight            True           (192, 64)
decoder.decoder.layers.0.multihead_attn.in_proj_bias              True              (192,)
decoder.decoder.layers.0.multihead_attn.out_proj.weight           True            (64, 64)
decoder.decoder.layers.0.multihead_attn.out_proj.bias             True               (64,)
decoder.decoder.layers.0.linear1.weight                           True          (2048, 64)
decoder.decoder.layers.0.linear1.bias                             True             (2048,)
decoder.decoder.layers.0.linear2.weight                           True          (64, 2048)
decoder.decoder.layers.0.linear2.bias                             True               (64,)
decoder.decoder.layers.0.norm1.weight                             True               (64,)
decoder.decoder.layers.0.norm1.bias                               True               (64,)
decoder.decoder.layers.0.norm2.weight                             True               (64,)
decoder.decoder.layers.0.norm2.bias                               True               (64,)
decoder.decoder.layers.0.norm3.weight                             True               (64,)
decoder.decoder.layers.0.norm3.bias                               True               (64,)
decoder.decoder.layers.1.self_attn.in_proj_weight                 True           (192, 64)
decoder.decoder.layers.1.self_attn.in_proj_bias                   True              (192,)
decoder.decoder.layers.1.self_attn.out_proj.weight                True            (64, 64)
decoder.decoder.layers.1.self_attn.out_proj.bias                  True               (64,)
decoder.decoder.layers.1.multihead_attn.in_proj_weight            True           (192, 64)
decoder.decoder.layers.1.multihead_attn.in_proj_bias              True              (192,)
decoder.decoder.layers.1.multihead_attn.out_proj.weight           True            (64, 64)
decoder.decoder.layers.1.multihead_attn.out_proj.bias             True               (64,)
decoder.decoder.layers.1.linear1.weight                           True          (2048, 64)
decoder.decoder.layers.1.linear1.bias                             True             (2048,)
decoder.decoder.layers.1.linear2.weight                           True          (64, 2048)
decoder.decoder.layers.1.linear2.bias                             True               (64,)
decoder.decoder.layers.1.norm1.weight                             True               (64,)
decoder.decoder.layers.1.norm1.bias                               True               (64,)
decoder.decoder.layers.1.norm2.weight                             True               (64,)
decoder.decoder.layers.1.norm2.bias                               True               (64,)
decoder.decoder.layers.1.norm3.weight                             True               (64,)
decoder.decoder.layers.1.norm3.bias                               True               (64,)
decoder.decoder.norm.weight                                       True               (64,)
decoder.decoder.norm.bias                                         True               (64,)
**********
I 05.31/07:01:41 solver.py:136 ] Epoch: [1/400][20/500] lr: 2.00e-07 | MSE loss: 1.0004e+00 | time: 0.340
I 05.31/07:01:46 solver.py:136 ] Epoch: [1/400][40/500] lr: 4.00e-07 | MSE loss: 1.0004e+00 | time: 0.278
I 05.31/07:01:49 solver.py:136 ] Epoch: [1/400][60/500] lr: 6.00e-07 | MSE loss: 1.0004e+00 | time: 0.240
I 05.31/07:01:54 solver.py:136 ] Epoch: [1/400][80/500] lr: 8.00e-07 | MSE loss: 1.0004e+00 | time: 0.242
I 05.31/07:01:58 solver.py:136 ] Epoch: [1/400][100/500] lr: 1.00e-06 | MSE loss: 1.0004e+00 | time: 0.232
I 05.31/07:02:04 solver.py:136 ] Epoch: [1/400][120/500] lr: 1.20e-06 | MSE loss: 1.0003e+00 | time: 0.243
I 05.31/07:02:09 solver.py:136 ] Epoch: [1/400][140/500] lr: 1.40e-06 | MSE loss: 1.0003e+00 | time: 0.245
I 05.31/07:02:13 solver.py:136 ] Epoch: [1/400][160/500] lr: 1.60e-06 | MSE loss: 1.0002e+00 | time: 0.243
I 05.31/07:02:18 solver.py:136 ] Epoch: [1/400][180/500] lr: 1.80e-06 | MSE loss: 1.0002e+00 | time: 0.244
I 05.31/07:02:24 solver.py:136 ] Epoch: [1/400][200/500] lr: 2.00e-06 | MSE loss: 1.0001e+00 | time: 0.247
I 05.31/07:02:28 solver.py:136 ] Epoch: [1/400][220/500] lr: 2.20e-06 | MSE loss: 1.0001e+00 | time: 0.244
