device=cuda
mapper=flow, params=14704640
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.732990e-01 val_mse=7.563793e-02 val_cos=0.944589 val_nmse=-9.306dB
epoch=0002 train_mse=5.968768e-02 val_mse=5.027449e-02 val_cos=0.963066 val_nmse=-11.079dB
epoch=0003 train_mse=4.477821e-02 val_mse=4.364798e-02 val_cos=0.967832 val_nmse=-11.692dB
epoch=0004 train_mse=3.828133e-02 val_mse=3.764775e-02 val_cos=0.972333 val_nmse=-12.334dB
epoch=0005 train_mse=3.424322e-02 val_mse=3.649967e-02 val_cos=0.973131 val_nmse=-12.469dB
epoch=0006 train_mse=3.183511e-02 val_mse=3.430566e-02 val_cos=0.974891 val_nmse=-12.738dB
epoch=0007 train_mse=2.993297e-02 val_mse=3.180116e-02 val_cos=0.976724 val_nmse=-13.067dB
epoch=0008 train_mse=2.827412e-02 val_mse=3.234406e-02 val_cos=0.976324 val_nmse=-12.994dB
epoch=0009 train_mse=2.704260e-02 val_mse=2.994250e-02 val_cos=0.978100 val_nmse=-13.329dB
epoch=0010 train_mse=2.587365e-02 val_mse=2.943650e-02 val_cos=0.978463 val_nmse=-13.403dB
epoch=0011 train_mse=2.493628e-02 val_mse=2.824019e-02 val_cos=0.979375 val_nmse=-13.583dB
epoch=0012 train_mse=2.391388e-02 val_mse=2.779036e-02 val_cos=0.979749 val_nmse=-13.653dB
epoch=0013 train_mse=2.317221e-02 val_mse=2.715171e-02 val_cos=0.980177 val_nmse=-13.754dB
epoch=0014 train_mse=2.242004e-02 val_mse=2.679332e-02 val_cos=0.980472 val_nmse=-13.812dB
epoch=0015 train_mse=2.169885e-02 val_mse=2.651721e-02 val_cos=0.980743 val_nmse=-13.857dB
epoch=0016 train_mse=2.109645e-02 val_mse=2.567680e-02 val_cos=0.981342 val_nmse=-13.997dB
epoch=0017 train_mse=2.049405e-02 val_mse=2.575562e-02 val_cos=0.981310 val_nmse=-13.983dB
epoch=0018 train_mse=1.998436e-02 val_mse=2.492061e-02 val_cos=0.981890 val_nmse=-14.127dB
epoch=0019 train_mse=1.947119e-02 val_mse=2.483994e-02 val_cos=0.981995 val_nmse=-14.141dB
epoch=0020 train_mse=1.893604e-02 val_mse=2.434648e-02 val_cos=0.982347 val_nmse=-14.228dB
epoch=0021 train_mse=1.848840e-02 val_mse=2.397358e-02 val_cos=0.982637 val_nmse=-14.295dB
epoch=0022 train_mse=1.809647e-02 val_mse=2.391044e-02 val_cos=0.982634 val_nmse=-14.307dB
epoch=0023 train_mse=1.765398e-02 val_mse=2.408017e-02 val_cos=0.982584 val_nmse=-14.276dB
epoch=0024 train_mse=1.730469e-02 val_mse=2.359461e-02 val_cos=0.982961 val_nmse=-14.365dB
epoch=0025 train_mse=1.692841e-02 val_mse=2.344182e-02 val_cos=0.983099 val_nmse=-14.393dB
epoch=0026 train_mse=1.656583e-02 val_mse=2.314440e-02 val_cos=0.983332 val_nmse=-14.449dB
epoch=0027 train_mse=1.625463e-02 val_mse=2.292866e-02 val_cos=0.983459 val_nmse=-14.489dB
epoch=0028 train_mse=1.591303e-02 val_mse=2.285167e-02 val_cos=0.983524 val_nmse=-14.504dB
epoch=0029 train_mse=1.561703e-02 val_mse=2.278188e-02 val_cos=0.983623 val_nmse=-14.517dB
epoch=0030 train_mse=1.532650e-02 val_mse=2.251386e-02 val_cos=0.983820 val_nmse=-14.569dB
epoch=0031 train_mse=1.503210e-02 val_mse=2.248035e-02 val_cos=0.983809 val_nmse=-14.575dB
epoch=0032 train_mse=1.482216e-02 val_mse=2.217645e-02 val_cos=0.984042 val_nmse=-14.634dB
epoch=0033 train_mse=1.456468e-02 val_mse=2.210215e-02 val_cos=0.984106 val_nmse=-14.649dB
epoch=0034 train_mse=1.428976e-02 val_mse=2.216263e-02 val_cos=0.984044 val_nmse=-14.637dB
epoch=0035 train_mse=1.408657e-02 val_mse=2.190012e-02 val_cos=0.984301 val_nmse=-14.689dB
epoch=0036 train_mse=1.386531e-02 val_mse=2.205798e-02 val_cos=0.984161 val_nmse=-14.658dB
epoch=0037 train_mse=1.366427e-02 val_mse=2.202603e-02 val_cos=0.984160 val_nmse=-14.664dB
epoch=0038 train_mse=1.344621e-02 val_mse=2.160300e-02 val_cos=0.984532 val_nmse=-14.748dB
epoch=0039 train_mse=1.324611e-02 val_mse=2.173189e-02 val_cos=0.984419 val_nmse=-14.723dB
epoch=0040 train_mse=1.307797e-02 val_mse=2.155105e-02 val_cos=0.984558 val_nmse=-14.759dB
epoch=0041 train_mse=1.285596e-02 val_mse=2.130026e-02 val_cos=0.984746 val_nmse=-14.810dB
epoch=0042 train_mse=1.268888e-02 val_mse=2.140254e-02 val_cos=0.984687 val_nmse=-14.789dB
epoch=0043 train_mse=1.253978e-02 val_mse=2.127001e-02 val_cos=0.984791 val_nmse=-14.816dB
epoch=0044 train_mse=1.235564e-02 val_mse=2.143564e-02 val_cos=0.984670 val_nmse=-14.783dB
epoch=0045 train_mse=1.220515e-02 val_mse=2.123830e-02 val_cos=0.984851 val_nmse=-14.823dB
epoch=0046 train_mse=1.208416e-02 val_mse=2.112740e-02 val_cos=0.984920 val_nmse=-14.845dB
epoch=0047 train_mse=1.193661e-02 val_mse=2.125020e-02 val_cos=0.984801 val_nmse=-14.820dB
epoch=0048 train_mse=1.178184e-02 val_mse=2.094891e-02 val_cos=0.985080 val_nmse=-14.882dB
epoch=0049 train_mse=1.163913e-02 val_mse=2.109653e-02 val_cos=0.984940 val_nmse=-14.852dB
epoch=0050 train_mse=1.151620e-02 val_mse=2.087290e-02 val_cos=0.985137 val_nmse=-14.898dB
