device=cuda
mapper=hybrid, params=23108608
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.841097e-01 val_mse=8.020096e-02 val_cos=0.959391 val_nmse=-9.048dB
epoch=0002 train_mse=6.244198e-02 val_mse=5.715862e-02 val_cos=0.967686 val_nmse=-10.521dB
epoch=0003 train_mse=4.935381e-02 val_mse=5.149000e-02 val_cos=0.970701 val_nmse=-10.975dB
epoch=0004 train_mse=4.445073e-02 val_mse=4.801827e-02 val_cos=0.972424 val_nmse=-11.279dB
epoch=0005 train_mse=4.058659e-02 val_mse=4.510962e-02 val_cos=0.973557 val_nmse=-11.551dB
epoch=0006 train_mse=3.578863e-02 val_mse=3.892431e-02 val_cos=0.974075 val_nmse=-12.192dB
epoch=0007 train_mse=2.939068e-02 val_mse=3.544977e-02 val_cos=0.975092 val_nmse=-12.598dB
epoch=0008 train_mse=2.626172e-02 val_mse=3.414139e-02 val_cos=0.975539 val_nmse=-12.761dB
epoch=0009 train_mse=2.421984e-02 val_mse=3.282538e-02 val_cos=0.976434 val_nmse=-12.931dB
epoch=0010 train_mse=2.253910e-02 val_mse=3.185906e-02 val_cos=0.977034 val_nmse=-13.061dB
epoch=0011 train_mse=2.109580e-02 val_mse=3.111610e-02 val_cos=0.977542 val_nmse=-13.164dB
epoch=0012 train_mse=1.993855e-02 val_mse=3.069961e-02 val_cos=0.977799 val_nmse=-13.222dB
epoch=0013 train_mse=1.882430e-02 val_mse=2.973318e-02 val_cos=0.978579 val_nmse=-13.362dB
epoch=0014 train_mse=1.790013e-02 val_mse=2.913599e-02 val_cos=0.979054 val_nmse=-13.450dB
epoch=0015 train_mse=1.707589e-02 val_mse=2.874041e-02 val_cos=0.979346 val_nmse=-13.510dB
epoch=0016 train_mse=1.636611e-02 val_mse=2.856753e-02 val_cos=0.979510 val_nmse=-13.536dB
epoch=0017 train_mse=1.572484e-02 val_mse=2.794572e-02 val_cos=0.980019 val_nmse=-13.632dB
epoch=0018 train_mse=1.508615e-02 val_mse=2.767683e-02 val_cos=0.980223 val_nmse=-13.674dB
epoch=0019 train_mse=1.455388e-02 val_mse=2.724121e-02 val_cos=0.980522 val_nmse=-13.742dB
epoch=0020 train_mse=1.405951e-02 val_mse=2.695815e-02 val_cos=0.980753 val_nmse=-13.789dB
epoch=0021 train_mse=1.365315e-02 val_mse=2.688121e-02 val_cos=0.980792 val_nmse=-13.800dB
epoch=0022 train_mse=1.316975e-02 val_mse=2.665402e-02 val_cos=0.980962 val_nmse=-13.837dB
epoch=0023 train_mse=1.283362e-02 val_mse=2.638206e-02 val_cos=0.981220 val_nmse=-13.882dB
epoch=0024 train_mse=1.250002e-02 val_mse=2.627025e-02 val_cos=0.981292 val_nmse=-13.901dB
epoch=0025 train_mse=1.217977e-02 val_mse=2.598710e-02 val_cos=0.981462 val_nmse=-13.948dB
epoch=0026 train_mse=1.187732e-02 val_mse=2.581393e-02 val_cos=0.981661 val_nmse=-13.978dB
epoch=0027 train_mse=1.158593e-02 val_mse=2.561645e-02 val_cos=0.981799 val_nmse=-14.011dB
epoch=0028 train_mse=1.130183e-02 val_mse=2.574383e-02 val_cos=0.981745 val_nmse=-13.990dB
epoch=0029 train_mse=1.105810e-02 val_mse=2.543531e-02 val_cos=0.981935 val_nmse=-14.042dB
epoch=0030 train_mse=1.079959e-02 val_mse=2.535984e-02 val_cos=0.982039 val_nmse=-14.055dB
epoch=0031 train_mse=1.060270e-02 val_mse=2.528594e-02 val_cos=0.982048 val_nmse=-14.067dB
epoch=0032 train_mse=1.039600e-02 val_mse=2.521570e-02 val_cos=0.982133 val_nmse=-14.080dB
epoch=0033 train_mse=1.019718e-02 val_mse=2.499300e-02 val_cos=0.982278 val_nmse=-14.118dB
epoch=0034 train_mse=1.004547e-02 val_mse=2.490647e-02 val_cos=0.982367 val_nmse=-14.134dB
epoch=0035 train_mse=9.877886e-03 val_mse=2.468332e-02 val_cos=0.982571 val_nmse=-14.172dB
epoch=0036 train_mse=9.676688e-03 val_mse=2.476531e-02 val_cos=0.982478 val_nmse=-14.158dB
epoch=0037 train_mse=9.484398e-03 val_mse=2.478377e-02 val_cos=0.982455 val_nmse=-14.155dB
epoch=0038 train_mse=9.358307e-03 val_mse=2.469259e-02 val_cos=0.982556 val_nmse=-14.171dB
epoch=0039 train_mse=9.216865e-03 val_mse=2.451270e-02 val_cos=0.982659 val_nmse=-14.203dB
epoch=0040 train_mse=9.082386e-03 val_mse=2.437640e-02 val_cos=0.982821 val_nmse=-14.228dB
epoch=0041 train_mse=8.965954e-03 val_mse=2.444566e-02 val_cos=0.982707 val_nmse=-14.215dB
epoch=0042 train_mse=8.820791e-03 val_mse=2.431668e-02 val_cos=0.982856 val_nmse=-14.238dB
epoch=0043 train_mse=8.699630e-03 val_mse=2.433394e-02 val_cos=0.982840 val_nmse=-14.235dB
epoch=0044 train_mse=8.556968e-03 val_mse=2.438106e-02 val_cos=0.982779 val_nmse=-14.227dB
epoch=0045 train_mse=8.480643e-03 val_mse=2.412545e-02 val_cos=0.982987 val_nmse=-14.273dB
epoch=0046 train_mse=8.350339e-03 val_mse=2.415810e-02 val_cos=0.982953 val_nmse=-14.266dB
epoch=0047 train_mse=8.269076e-03 val_mse=2.402489e-02 val_cos=0.983056 val_nmse=-14.290dB
epoch=0048 train_mse=8.179831e-03 val_mse=2.422946e-02 val_cos=0.982926 val_nmse=-14.254dB
epoch=0049 train_mse=8.085546e-03 val_mse=2.401252e-02 val_cos=0.983068 val_nmse=-14.293dB
epoch=0050 train_mse=7.963800e-03 val_mse=2.388968e-02 val_cos=0.983167 val_nmse=-14.315dB
epoch=0051 train_mse=7.867602e-03 val_mse=2.395287e-02 val_cos=0.983135 val_nmse=-14.304dB
epoch=0052 train_mse=7.795186e-03 val_mse=2.392702e-02 val_cos=0.983189 val_nmse=-14.309dB
epoch=0053 train_mse=7.678922e-03 val_mse=2.384998e-02 val_cos=0.983223 val_nmse=-14.323dB
epoch=0054 train_mse=7.611903e-03 val_mse=2.379208e-02 val_cos=0.983263 val_nmse=-14.333dB
epoch=0055 train_mse=7.557180e-03 val_mse=2.399031e-02 val_cos=0.983161 val_nmse=-14.298dB
epoch=0056 train_mse=7.476109e-03 val_mse=2.373507e-02 val_cos=0.983323 val_nmse=-14.344dB
epoch=0057 train_mse=7.407735e-03 val_mse=2.371524e-02 val_cos=0.983311 val_nmse=-14.347dB
epoch=0058 train_mse=7.314016e-03 val_mse=2.380260e-02 val_cos=0.983270 val_nmse=-14.332dB
epoch=0059 train_mse=7.219593e-03 val_mse=2.371038e-02 val_cos=0.983329 val_nmse=-14.348dB
epoch=0060 train_mse=7.155165e-03 val_mse=2.361137e-02 val_cos=0.983419 val_nmse=-14.367dB
epoch=0061 train_mse=7.103650e-03 val_mse=2.360410e-02 val_cos=0.983405 val_nmse=-14.368dB
epoch=0062 train_mse=7.038176e-03 val_mse=2.367329e-02 val_cos=0.983362 val_nmse=-14.355dB
epoch=0063 train_mse=6.967112e-03 val_mse=2.361527e-02 val_cos=0.983373 val_nmse=-14.366dB
epoch=0064 train_mse=6.929728e-03 val_mse=2.345328e-02 val_cos=0.983530 val_nmse=-14.396dB
epoch=0065 train_mse=6.859806e-03 val_mse=2.358062e-02 val_cos=0.983416 val_nmse=-14.372dB
epoch=0066 train_mse=6.809952e-03 val_mse=2.339955e-02 val_cos=0.983555 val_nmse=-14.406dB
epoch=0067 train_mse=6.747367e-03 val_mse=2.360302e-02 val_cos=0.983390 val_nmse=-14.368dB
epoch=0068 train_mse=6.688895e-03 val_mse=2.340535e-02 val_cos=0.983551 val_nmse=-14.405dB
epoch=0069 train_mse=6.637526e-03 val_mse=2.345335e-02 val_cos=0.983556 val_nmse=-14.396dB
