device=cuda
mapper=hybrid, params=23108608
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.773040e-01 val_mse=7.961477e-02 val_cos=0.959484 val_nmse=-9.079dB
epoch=0002 train_mse=6.208949e-02 val_mse=5.755161e-02 val_cos=0.967188 val_nmse=-10.491dB
epoch=0003 train_mse=4.945281e-02 val_mse=5.142565e-02 val_cos=0.970675 val_nmse=-10.981dB
epoch=0004 train_mse=4.465817e-02 val_mse=4.836874e-02 val_cos=0.972045 val_nmse=-11.247dB
epoch=0005 train_mse=4.093143e-02 val_mse=4.577894e-02 val_cos=0.972842 val_nmse=-11.487dB
epoch=0006 train_mse=3.628109e-02 val_mse=3.970386e-02 val_cos=0.973512 val_nmse=-12.106dB
epoch=0007 train_mse=2.998566e-02 val_mse=3.633439e-02 val_cos=0.974403 val_nmse=-12.491dB
epoch=0008 train_mse=2.695463e-02 val_mse=3.467106e-02 val_cos=0.975134 val_nmse=-12.694dB
epoch=0009 train_mse=2.494028e-02 val_mse=3.342942e-02 val_cos=0.975925 val_nmse=-12.852dB
epoch=0010 train_mse=2.320092e-02 val_mse=3.262435e-02 val_cos=0.976410 val_nmse=-12.958dB
epoch=0011 train_mse=2.184275e-02 val_mse=3.164290e-02 val_cos=0.977175 val_nmse=-13.091dB
epoch=0012 train_mse=2.063683e-02 val_mse=3.074256e-02 val_cos=0.977798 val_nmse=-13.216dB
epoch=0013 train_mse=1.958322e-02 val_mse=3.016469e-02 val_cos=0.978286 val_nmse=-13.299dB
epoch=0014 train_mse=1.872436e-02 val_mse=2.978538e-02 val_cos=0.978519 val_nmse=-13.354dB
epoch=0015 train_mse=1.798286e-02 val_mse=2.964477e-02 val_cos=0.978631 val_nmse=-13.375dB
epoch=0016 train_mse=1.728290e-02 val_mse=2.893147e-02 val_cos=0.979220 val_nmse=-13.481dB
epoch=0017 train_mse=1.667593e-02 val_mse=2.879668e-02 val_cos=0.979380 val_nmse=-13.501dB
epoch=0018 train_mse=1.608173e-02 val_mse=2.842060e-02 val_cos=0.979555 val_nmse=-13.558dB
epoch=0019 train_mse=1.558988e-02 val_mse=2.827898e-02 val_cos=0.979706 val_nmse=-13.580dB
epoch=0020 train_mse=1.509900e-02 val_mse=2.790296e-02 val_cos=0.980043 val_nmse=-13.639dB
epoch=0021 train_mse=1.464532e-02 val_mse=2.764839e-02 val_cos=0.980219 val_nmse=-13.679dB
epoch=0022 train_mse=1.425711e-02 val_mse=2.742700e-02 val_cos=0.980411 val_nmse=-13.713dB
epoch=0023 train_mse=1.391667e-02 val_mse=2.727655e-02 val_cos=0.980570 val_nmse=-13.737dB
epoch=0024 train_mse=1.355207e-02 val_mse=2.715121e-02 val_cos=0.980634 val_nmse=-13.758dB
epoch=0025 train_mse=1.323847e-02 val_mse=2.701364e-02 val_cos=0.980752 val_nmse=-13.779dB
epoch=0026 train_mse=1.293575e-02 val_mse=2.693832e-02 val_cos=0.980820 val_nmse=-13.792dB
epoch=0027 train_mse=1.262826e-02 val_mse=2.675480e-02 val_cos=0.980938 val_nmse=-13.822dB
epoch=0028 train_mse=1.236920e-02 val_mse=2.633093e-02 val_cos=0.981300 val_nmse=-13.892dB
epoch=0029 train_mse=1.209111e-02 val_mse=2.617021e-02 val_cos=0.981399 val_nmse=-13.918dB
epoch=0030 train_mse=1.187600e-02 val_mse=2.634757e-02 val_cos=0.981325 val_nmse=-13.889dB
epoch=0031 train_mse=1.163250e-02 val_mse=2.618622e-02 val_cos=0.981414 val_nmse=-13.915dB
epoch=0032 train_mse=1.144518e-02 val_mse=2.599197e-02 val_cos=0.981556 val_nmse=-13.948dB
epoch=0033 train_mse=1.118640e-02 val_mse=2.604914e-02 val_cos=0.981538 val_nmse=-13.938dB
epoch=0034 train_mse=1.100662e-02 val_mse=2.585287e-02 val_cos=0.981705 val_nmse=-13.972dB
epoch=0035 train_mse=1.085339e-02 val_mse=2.556172e-02 val_cos=0.981918 val_nmse=-14.021dB
epoch=0036 train_mse=1.069536e-02 val_mse=2.566149e-02 val_cos=0.981835 val_nmse=-14.003dB
epoch=0037 train_mse=1.050358e-02 val_mse=2.563172e-02 val_cos=0.981853 val_nmse=-14.009dB
epoch=0038 train_mse=1.028644e-02 val_mse=2.555326e-02 val_cos=0.981936 val_nmse=-14.022dB
epoch=0039 train_mse=1.017106e-02 val_mse=2.542828e-02 val_cos=0.982000 val_nmse=-14.043dB
epoch=0040 train_mse=1.003499e-02 val_mse=2.559603e-02 val_cos=0.981930 val_nmse=-14.015dB
epoch=0041 train_mse=9.890968e-03 val_mse=2.526506e-02 val_cos=0.982136 val_nmse=-14.072dB
epoch=0042 train_mse=9.766680e-03 val_mse=2.521467e-02 val_cos=0.982203 val_nmse=-14.080dB
epoch=0043 train_mse=9.621778e-03 val_mse=2.519552e-02 val_cos=0.982213 val_nmse=-14.084dB
epoch=0044 train_mse=9.480744e-03 val_mse=2.525623e-02 val_cos=0.982150 val_nmse=-14.074dB
epoch=0045 train_mse=9.385801e-03 val_mse=2.506870e-02 val_cos=0.982281 val_nmse=-14.106dB
epoch=0046 train_mse=9.248386e-03 val_mse=2.500232e-02 val_cos=0.982376 val_nmse=-14.118dB
epoch=0047 train_mse=9.136693e-03 val_mse=2.496456e-02 val_cos=0.982400 val_nmse=-14.124dB
epoch=0048 train_mse=9.056276e-03 val_mse=2.496110e-02 val_cos=0.982388 val_nmse=-14.125dB
epoch=0049 train_mse=8.937154e-03 val_mse=2.490673e-02 val_cos=0.982451 val_nmse=-14.134dB
epoch=0050 train_mse=8.880855e-03 val_mse=2.478654e-02 val_cos=0.982539 val_nmse=-14.155dB
epoch=0051 train_mse=8.746340e-03 val_mse=2.485523e-02 val_cos=0.982494 val_nmse=-14.143dB
epoch=0052 train_mse=8.634616e-03 val_mse=2.476277e-02 val_cos=0.982591 val_nmse=-14.160dB
epoch=0053 train_mse=8.539028e-03 val_mse=2.468412e-02 val_cos=0.982630 val_nmse=-14.173dB
epoch=0054 train_mse=8.441171e-03 val_mse=2.471553e-02 val_cos=0.982600 val_nmse=-14.168dB
epoch=0055 train_mse=8.370639e-03 val_mse=2.454475e-02 val_cos=0.982740 val_nmse=-14.198dB
epoch=0056 train_mse=8.285166e-03 val_mse=2.461262e-02 val_cos=0.982687 val_nmse=-14.186dB
epoch=0057 train_mse=8.193677e-03 val_mse=2.449369e-02 val_cos=0.982749 val_nmse=-14.207dB
epoch=0058 train_mse=8.120541e-03 val_mse=2.468485e-02 val_cos=0.982649 val_nmse=-14.173dB
epoch=0059 train_mse=8.060123e-03 val_mse=2.454266e-02 val_cos=0.982755 val_nmse=-14.199dB
epoch=0060 train_mse=7.968737e-03 val_mse=2.439876e-02 val_cos=0.982867 val_nmse=-14.224dB
epoch=0061 train_mse=7.902517e-03 val_mse=2.461194e-02 val_cos=0.982720 val_nmse=-14.186dB
epoch=0062 train_mse=7.821007e-03 val_mse=2.459374e-02 val_cos=0.982714 val_nmse=-14.189dB
epoch=0063 train_mse=7.744611e-03 val_mse=2.427143e-02 val_cos=0.982927 val_nmse=-14.246dB
epoch=0064 train_mse=7.700923e-03 val_mse=2.451659e-02 val_cos=0.982762 val_nmse=-14.203dB
epoch=0065 train_mse=7.627318e-03 val_mse=2.437223e-02 val_cos=0.982920 val_nmse=-14.229dB
epoch=0066 train_mse=7.577131e-03 val_mse=2.425202e-02 val_cos=0.982961 val_nmse=-14.251dB
epoch=0067 train_mse=7.472542e-03 val_mse=2.436838e-02 val_cos=0.982880 val_nmse=-14.230dB
epoch=0068 train_mse=7.438618e-03 val_mse=2.433653e-02 val_cos=0.982935 val_nmse=-14.236dB
epoch=0069 train_mse=7.373740e-03 val_mse=2.417601e-02 val_cos=0.983053 val_nmse=-14.264dB
epoch=0070 train_mse=7.297470e-03 val_mse=2.411988e-02 val_cos=0.983094 val_nmse=-14.274dB
epoch=0071 train_mse=7.254367e-03 val_mse=2.422367e-02 val_cos=0.983026 val_nmse=-14.255dB
epoch=0072 train_mse=7.194027e-03 val_mse=2.416573e-02 val_cos=0.983062 val_nmse=-14.266dB
epoch=0073 train_mse=7.134221e-03 val_mse=2.426412e-02 val_cos=0.982971 val_nmse=-14.248dB
epoch=0074 train_mse=7.116292e-03 val_mse=2.424184e-02 val_cos=0.982985 val_nmse=-14.252dB
epoch=0075 train_mse=7.060365e-03 val_mse=2.412458e-02 val_cos=0.983114 val_nmse=-14.274dB
epoch=0076 train_mse=7.011721e-03 val_mse=2.413485e-02 val_cos=0.983093 val_nmse=-14.272dB
epoch=0077 train_mse=6.930217e-03 val_mse=2.405471e-02 val_cos=0.983158 val_nmse=-14.286dB
epoch=0078 train_mse=6.869593e-03 val_mse=2.410971e-02 val_cos=0.983098 val_nmse=-14.276dB
epoch=0079 train_mse=6.831150e-03 val_mse=2.411663e-02 val_cos=0.983102 val_nmse=-14.275dB
epoch=0080 train_mse=6.803478e-03 val_mse=2.398448e-02 val_cos=0.983243 val_nmse=-14.299dB
epoch=0081 train_mse=6.769198e-03 val_mse=2.402549e-02 val_cos=0.983211 val_nmse=-14.292dB
epoch=0082 train_mse=6.700994e-03 val_mse=2.409328e-02 val_cos=0.983147 val_nmse=-14.279dB
epoch=0083 train_mse=6.670739e-03 val_mse=2.401022e-02 val_cos=0.983217 val_nmse=-14.294dB
epoch=0084 train_mse=6.625146e-03 val_mse=2.398376e-02 val_cos=0.983204 val_nmse=-14.299dB
epoch=0085 train_mse=6.585514e-03 val_mse=2.384136e-02 val_cos=0.983297 val_nmse=-14.325dB
epoch=0086 train_mse=6.545234e-03 val_mse=2.380505e-02 val_cos=0.983341 val_nmse=-14.331dB
epoch=0087 train_mse=6.486461e-03 val_mse=2.386886e-02 val_cos=0.983316 val_nmse=-14.320dB
epoch=0088 train_mse=6.439991e-03 val_mse=2.396426e-02 val_cos=0.983237 val_nmse=-14.303dB
epoch=0089 train_mse=6.407007e-03 val_mse=2.390318e-02 val_cos=0.983258 val_nmse=-14.314dB
epoch=0090 train_mse=6.388807e-03 val_mse=2.378736e-02 val_cos=0.983371 val_nmse=-14.335dB
epoch=0091 train_mse=6.341145e-03 val_mse=2.389190e-02 val_cos=0.983287 val_nmse=-14.316dB
epoch=0092 train_mse=6.292881e-03 val_mse=2.381436e-02 val_cos=0.983373 val_nmse=-14.330dB
epoch=0093 train_mse=6.240750e-03 val_mse=2.374970e-02 val_cos=0.983395 val_nmse=-14.342dB
epoch=0094 train_mse=6.233720e-03 val_mse=2.380751e-02 val_cos=0.983378 val_nmse=-14.332dB
epoch=0095 train_mse=6.213009e-03 val_mse=2.370631e-02 val_cos=0.983432 val_nmse=-14.350dB
epoch=0096 train_mse=6.136480e-03 val_mse=2.371636e-02 val_cos=0.983416 val_nmse=-14.348dB
epoch=0097 train_mse=6.125965e-03 val_mse=2.375614e-02 val_cos=0.983432 val_nmse=-14.341dB
epoch=0098 train_mse=6.076350e-03 val_mse=2.370797e-02 val_cos=0.983434 val_nmse=-14.350dB
epoch=0099 train_mse=6.059213e-03 val_mse=2.370911e-02 val_cos=0.983420 val_nmse=-14.349dB
epoch=0100 train_mse=6.007856e-03 val_mse=2.364235e-02 val_cos=0.983492 val_nmse=-14.362dB
epoch=0101 train_mse=5.993091e-03 val_mse=2.368842e-02 val_cos=0.983463 val_nmse=-14.354dB
epoch=0102 train_mse=5.960859e-03 val_mse=2.370891e-02 val_cos=0.983441 val_nmse=-14.349dB
epoch=0103 train_mse=5.912920e-03 val_mse=2.361310e-02 val_cos=0.983509 val_nmse=-14.367dB
epoch=0104 train_mse=5.881684e-03 val_mse=2.363109e-02 val_cos=0.983489 val_nmse=-14.364dB
epoch=0105 train_mse=5.859307e-03 val_mse=2.376424e-02 val_cos=0.983392 val_nmse=-14.339dB
epoch=0106 train_mse=5.821162e-03 val_mse=2.366054e-02 val_cos=0.983491 val_nmse=-14.358dB
epoch=0107 train_mse=5.785487e-03 val_mse=2.361345e-02 val_cos=0.983534 val_nmse=-14.367dB
epoch=0108 train_mse=5.790635e-03 val_mse=2.349965e-02 val_cos=0.983602 val_nmse=-14.388dB
epoch=0109 train_mse=5.745034e-03 val_mse=2.369011e-02 val_cos=0.983457 val_nmse=-14.353dB
epoch=0110 train_mse=5.701403e-03 val_mse=2.361976e-02 val_cos=0.983556 val_nmse=-14.366dB
epoch=0111 train_mse=5.673194e-03 val_mse=2.353292e-02 val_cos=0.983584 val_nmse=-14.382dB
epoch=0112 train_mse=5.636920e-03 val_mse=2.360728e-02 val_cos=0.983496 val_nmse=-14.368dB
epoch=0113 train_mse=5.624608e-03 val_mse=2.354208e-02 val_cos=0.983587 val_nmse=-14.380dB
epoch=0114 train_mse=5.610263e-03 val_mse=2.358187e-02 val_cos=0.983579 val_nmse=-14.373dB
epoch=0115 train_mse=5.573279e-03 val_mse=2.345938e-02 val_cos=0.983656 val_nmse=-14.396dB
epoch=0116 train_mse=5.558863e-03 val_mse=2.353585e-02 val_cos=0.983574 val_nmse=-14.381dB
epoch=0117 train_mse=5.515185e-03 val_mse=2.348263e-02 val_cos=0.983593 val_nmse=-14.391dB
epoch=0118 train_mse=5.480061e-03 val_mse=2.344604e-02 val_cos=0.983642 val_nmse=-14.398dB
epoch=0119 train_mse=5.454535e-03 val_mse=2.347968e-02 val_cos=0.983616 val_nmse=-14.392dB
epoch=0120 train_mse=5.452315e-03 val_mse=2.349117e-02 val_cos=0.983613 val_nmse=-14.390dB
epoch=0121 train_mse=5.418588e-03 val_mse=2.340752e-02 val_cos=0.983720 val_nmse=-14.405dB
epoch=0122 train_mse=5.393066e-03 val_mse=2.349724e-02 val_cos=0.983622 val_nmse=-14.389dB
epoch=0123 train_mse=5.371354e-03 val_mse=2.345232e-02 val_cos=0.983664 val_nmse=-14.397dB
epoch=0124 train_mse=5.321896e-03 val_mse=2.347561e-02 val_cos=0.983643 val_nmse=-14.393dB
epoch=0125 train_mse=5.302699e-03 val_mse=2.345605e-02 val_cos=0.983692 val_nmse=-14.396dB
epoch=0126 train_mse=5.287665e-03 val_mse=2.338745e-02 val_cos=0.983702 val_nmse=-14.409dB
epoch=0127 train_mse=5.273027e-03 val_mse=2.351628e-02 val_cos=0.983606 val_nmse=-14.385dB
epoch=0128 train_mse=5.243168e-03 val_mse=2.341652e-02 val_cos=0.983680 val_nmse=-14.404dB
epoch=0129 train_mse=5.200637e-03 val_mse=2.346730e-02 val_cos=0.983650 val_nmse=-14.394dB
epoch=0130 train_mse=5.222768e-03 val_mse=2.344486e-02 val_cos=0.983666 val_nmse=-14.398dB
epoch=0131 train_mse=5.186264e-03 val_mse=2.341321e-02 val_cos=0.983687 val_nmse=-14.404dB
epoch=0132 train_mse=5.168269e-03 val_mse=2.332483e-02 val_cos=0.983798 val_nmse=-14.421dB
epoch=0133 train_mse=5.143756e-03 val_mse=2.334423e-02 val_cos=0.983757 val_nmse=-14.417dB
epoch=0134 train_mse=5.104993e-03 val_mse=2.350525e-02 val_cos=0.983613 val_nmse=-14.387dB
epoch=0135 train_mse=5.081545e-03 val_mse=2.326680e-02 val_cos=0.983822 val_nmse=-14.432dB
epoch=0136 train_mse=5.078168e-03 val_mse=2.343538e-02 val_cos=0.983685 val_nmse=-14.400dB
epoch=0137 train_mse=5.056192e-03 val_mse=2.330889e-02 val_cos=0.983774 val_nmse=-14.424dB
epoch=0138 train_mse=5.040193e-03 val_mse=2.328832e-02 val_cos=0.983791 val_nmse=-14.428dB
epoch=0139 train_mse=5.008579e-03 val_mse=2.324416e-02 val_cos=0.983840 val_nmse=-14.436dB
epoch=0140 train_mse=4.968368e-03 val_mse=2.331120e-02 val_cos=0.983750 val_nmse=-14.423dB
epoch=0141 train_mse=4.980685e-03 val_mse=2.329777e-02 val_cos=0.983769 val_nmse=-14.426dB
epoch=0142 train_mse=4.977833e-03 val_mse=2.336076e-02 val_cos=0.983733 val_nmse=-14.414dB
epoch=0143 train_mse=4.932891e-03 val_mse=2.338453e-02 val_cos=0.983709 val_nmse=-14.410dB
epoch=0144 train_mse=4.916366e-03 val_mse=2.321081e-02 val_cos=0.983832 val_nmse=-14.442dB
epoch=0145 train_mse=4.906943e-03 val_mse=2.331923e-02 val_cos=0.983768 val_nmse=-14.422dB
epoch=0146 train_mse=4.876704e-03 val_mse=2.334285e-02 val_cos=0.983752 val_nmse=-14.418dB
epoch=0147 train_mse=4.856557e-03 val_mse=2.334817e-02 val_cos=0.983762 val_nmse=-14.416dB
epoch=0148 train_mse=4.851951e-03 val_mse=2.322769e-02 val_cos=0.983841 val_nmse=-14.439dB
epoch=0149 train_mse=4.822414e-03 val_mse=2.330262e-02 val_cos=0.983776 val_nmse=-14.425dB
epoch=0150 train_mse=4.819978e-03 val_mse=2.328060e-02 val_cos=0.983782 val_nmse=-14.429dB
epoch=0151 train_mse=4.805943e-03 val_mse=2.331907e-02 val_cos=0.983784 val_nmse=-14.422dB
epoch=0152 train_mse=4.774425e-03 val_mse=2.322390e-02 val_cos=0.983855 val_nmse=-14.440dB
epoch=0153 train_mse=4.751771e-03 val_mse=2.324557e-02 val_cos=0.983845 val_nmse=-14.436dB
epoch=0154 train_mse=4.737464e-03 val_mse=2.328366e-02 val_cos=0.983812 val_nmse=-14.429dB
epoch=0155 train_mse=4.728476e-03 val_mse=2.326574e-02 val_cos=0.983843 val_nmse=-14.432dB
epoch=0156 train_mse=4.712142e-03 val_mse=2.329065e-02 val_cos=0.983810 val_nmse=-14.428dB
epoch=0157 train_mse=4.692726e-03 val_mse=2.332263e-02 val_cos=0.983750 val_nmse=-14.421dB
epoch=0158 train_mse=4.683484e-03 val_mse=2.324708e-02 val_cos=0.983847 val_nmse=-14.435dB
epoch=0159 train_mse=4.683612e-03 val_mse=2.314234e-02 val_cos=0.983912 val_nmse=-14.455dB
epoch=0160 train_mse=4.648549e-03 val_mse=2.315805e-02 val_cos=0.983913 val_nmse=-14.452dB
epoch=0161 train_mse=4.621250e-03 val_mse=2.308274e-02 val_cos=0.983953 val_nmse=-14.467dB
epoch=0162 train_mse=4.608506e-03 val_mse=2.323634e-02 val_cos=0.983847 val_nmse=-14.437dB
epoch=0163 train_mse=4.587276e-03 val_mse=2.320797e-02 val_cos=0.983823 val_nmse=-14.442dB
epoch=0164 train_mse=4.595083e-03 val_mse=2.321838e-02 val_cos=0.983819 val_nmse=-14.441dB
epoch=0165 train_mse=4.567043e-03 val_mse=2.329582e-02 val_cos=0.983815 val_nmse=-14.426dB
epoch=0166 train_mse=4.563298e-03 val_mse=2.318049e-02 val_cos=0.983891 val_nmse=-14.448dB
epoch=0167 train_mse=4.562613e-03 val_mse=2.320823e-02 val_cos=0.983858 val_nmse=-14.442dB
epoch=0168 train_mse=4.528391e-03 val_mse=2.318101e-02 val_cos=0.983881 val_nmse=-14.448dB
epoch=0169 train_mse=4.493929e-03 val_mse=2.330642e-02 val_cos=0.983793 val_nmse=-14.424dB
epoch=0170 train_mse=4.485703e-03 val_mse=2.322147e-02 val_cos=0.983902 val_nmse=-14.440dB
epoch=0171 train_mse=4.474912e-03 val_mse=2.313899e-02 val_cos=0.983892 val_nmse=-14.456dB
epoch=0172 train_mse=4.464298e-03 val_mse=2.326168e-02 val_cos=0.983839 val_nmse=-14.432dB
epoch=0173 train_mse=4.453007e-03 val_mse=2.314568e-02 val_cos=0.983895 val_nmse=-14.454dB
epoch=0174 train_mse=4.443378e-03 val_mse=2.319793e-02 val_cos=0.983875 val_nmse=-14.445dB
