device=cuda
mapper=hybrid, params=23108608
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=2.238475e-01 val_mse=1.054729e-01 val_cos=0.942059 val_nmse=-7.858dB
epoch=0002 train_mse=8.136761e-02 val_mse=7.260612e-02 val_cos=0.956139 val_nmse=-9.482dB
epoch=0003 train_mse=6.201021e-02 val_mse=6.352659e-02 val_cos=0.961726 val_nmse=-10.063dB
epoch=0004 train_mse=5.423357e-02 val_mse=5.887024e-02 val_cos=0.964606 val_nmse=-10.394dB
epoch=0005 train_mse=4.881770e-02 val_mse=5.546355e-02 val_cos=0.966275 val_nmse=-10.653dB
epoch=0006 train_mse=4.395244e-02 val_mse=5.133599e-02 val_cos=0.967253 val_nmse=-10.990dB
epoch=0007 train_mse=3.646659e-02 val_mse=4.503061e-02 val_cos=0.968527 val_nmse=-11.560dB
epoch=0008 train_mse=3.169101e-02 val_mse=4.304609e-02 val_cos=0.969428 val_nmse=-11.755dB
epoch=0009 train_mse=2.888996e-02 val_mse=4.142464e-02 val_cos=0.970429 val_nmse=-11.922dB
epoch=0010 train_mse=2.653617e-02 val_mse=4.032684e-02 val_cos=0.971080 val_nmse=-12.038dB
epoch=0011 train_mse=2.468723e-02 val_mse=3.952816e-02 val_cos=0.971670 val_nmse=-12.126dB
epoch=0012 train_mse=2.312517e-02 val_mse=3.873841e-02 val_cos=0.972224 val_nmse=-12.213dB
epoch=0013 train_mse=2.184312e-02 val_mse=3.772393e-02 val_cos=0.973014 val_nmse=-12.329dB
epoch=0014 train_mse=2.067616e-02 val_mse=3.743045e-02 val_cos=0.973282 val_nmse=-12.363dB
epoch=0015 train_mse=1.970914e-02 val_mse=3.687311e-02 val_cos=0.973662 val_nmse=-12.428dB
epoch=0016 train_mse=1.883981e-02 val_mse=3.649436e-02 val_cos=0.973997 val_nmse=-12.473dB
epoch=0017 train_mse=1.804231e-02 val_mse=3.609809e-02 val_cos=0.974276 val_nmse=-12.521dB
epoch=0018 train_mse=1.727297e-02 val_mse=3.602839e-02 val_cos=0.974310 val_nmse=-12.529dB
epoch=0019 train_mse=1.664495e-02 val_mse=3.551493e-02 val_cos=0.974680 val_nmse=-12.592dB
epoch=0020 train_mse=1.605941e-02 val_mse=3.514872e-02 val_cos=0.974974 val_nmse=-12.636dB
epoch=0021 train_mse=1.551164e-02 val_mse=3.486544e-02 val_cos=0.975222 val_nmse=-12.672dB
epoch=0022 train_mse=1.498893e-02 val_mse=3.469318e-02 val_cos=0.975370 val_nmse=-12.693dB
epoch=0023 train_mse=1.457144e-02 val_mse=3.467947e-02 val_cos=0.975402 val_nmse=-12.695dB
epoch=0024 train_mse=1.413506e-02 val_mse=3.427897e-02 val_cos=0.975664 val_nmse=-12.745dB
epoch=0025 train_mse=1.373740e-02 val_mse=3.401470e-02 val_cos=0.975898 val_nmse=-12.779dB
epoch=0026 train_mse=1.334081e-02 val_mse=3.391640e-02 val_cos=0.975927 val_nmse=-12.792dB
epoch=0027 train_mse=1.304998e-02 val_mse=3.369989e-02 val_cos=0.976089 val_nmse=-12.820dB
epoch=0028 train_mse=1.271682e-02 val_mse=3.343630e-02 val_cos=0.976353 val_nmse=-12.854dB
epoch=0029 train_mse=1.235728e-02 val_mse=3.323235e-02 val_cos=0.976499 val_nmse=-12.881dB
epoch=0030 train_mse=1.212265e-02 val_mse=3.326974e-02 val_cos=0.976492 val_nmse=-12.876dB
epoch=0031 train_mse=1.184190e-02 val_mse=3.300711e-02 val_cos=0.976676 val_nmse=-12.910dB
epoch=0032 train_mse=1.157872e-02 val_mse=3.292250e-02 val_cos=0.976723 val_nmse=-12.921dB
epoch=0033 train_mse=1.134697e-02 val_mse=3.288013e-02 val_cos=0.976785 val_nmse=-12.927dB
epoch=0034 train_mse=1.115154e-02 val_mse=3.289336e-02 val_cos=0.976765 val_nmse=-12.926dB
epoch=0035 train_mse=1.092598e-02 val_mse=3.251607e-02 val_cos=0.977025 val_nmse=-12.976dB
epoch=0036 train_mse=1.073244e-02 val_mse=3.239278e-02 val_cos=0.977130 val_nmse=-12.992dB
epoch=0037 train_mse=1.052571e-02 val_mse=3.235927e-02 val_cos=0.977150 val_nmse=-12.996dB
epoch=0038 train_mse=1.034679e-02 val_mse=3.221344e-02 val_cos=0.977269 val_nmse=-13.016dB
epoch=0039 train_mse=1.019894e-02 val_mse=3.227355e-02 val_cos=0.977235 val_nmse=-13.008dB
epoch=0040 train_mse=1.003298e-02 val_mse=3.221038e-02 val_cos=0.977256 val_nmse=-13.016dB
epoch=0041 train_mse=9.850898e-03 val_mse=3.217292e-02 val_cos=0.977278 val_nmse=-13.021dB
epoch=0042 train_mse=9.696074e-03 val_mse=3.190100e-02 val_cos=0.977491 val_nmse=-13.058dB
epoch=0043 train_mse=9.535342e-03 val_mse=3.191022e-02 val_cos=0.977517 val_nmse=-13.057dB
epoch=0044 train_mse=9.379162e-03 val_mse=3.180253e-02 val_cos=0.977593 val_nmse=-13.072dB
epoch=0045 train_mse=9.276518e-03 val_mse=3.180382e-02 val_cos=0.977595 val_nmse=-13.072dB
epoch=0046 train_mse=9.164467e-03 val_mse=3.159509e-02 val_cos=0.977720 val_nmse=-13.100dB
epoch=0047 train_mse=9.015064e-03 val_mse=3.174207e-02 val_cos=0.977666 val_nmse=-13.080dB
epoch=0048 train_mse=8.906098e-03 val_mse=3.175939e-02 val_cos=0.977657 val_nmse=-13.078dB
epoch=0049 train_mse=8.798855e-03 val_mse=3.161112e-02 val_cos=0.977716 val_nmse=-13.098dB
epoch=0050 train_mse=8.678588e-03 val_mse=3.154456e-02 val_cos=0.977762 val_nmse=-13.107dB
epoch=0051 train_mse=8.572922e-03 val_mse=3.134742e-02 val_cos=0.977909 val_nmse=-13.135dB
