device=cuda
mapper=hybrid, params=23108608
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.459878e-01 val_mse=5.662887e-02 val_cos=0.976356 val_nmse=-10.560dB
epoch=0002 train_mse=4.482668e-02 val_mse=4.085624e-02 val_cos=0.980149 val_nmse=-11.979dB
epoch=0003 train_mse=3.612865e-02 val_mse=3.696178e-02 val_cos=0.981789 val_nmse=-12.416dB
epoch=0004 train_mse=3.248088e-02 val_mse=3.431388e-02 val_cos=0.982703 val_nmse=-12.739dB
epoch=0005 train_mse=2.920396e-02 val_mse=3.134409e-02 val_cos=0.983373 val_nmse=-13.133dB
epoch=0006 train_mse=2.419712e-02 val_mse=2.502865e-02 val_cos=0.983699 val_nmse=-14.110dB
epoch=0007 train_mse=1.892555e-02 val_mse=2.248908e-02 val_cos=0.984433 val_nmse=-14.574dB
epoch=0008 train_mse=1.662811e-02 val_mse=2.111609e-02 val_cos=0.985090 val_nmse=-14.847dB
epoch=0009 train_mse=1.512738e-02 val_mse=2.050005e-02 val_cos=0.985386 val_nmse=-14.975dB
epoch=0010 train_mse=1.399284e-02 val_mse=1.984493e-02 val_cos=0.985763 val_nmse=-15.116dB
epoch=0011 train_mse=1.305884e-02 val_mse=1.957962e-02 val_cos=0.985921 val_nmse=-15.174dB
epoch=0012 train_mse=1.230140e-02 val_mse=1.915445e-02 val_cos=0.986208 val_nmse=-15.270dB
epoch=0013 train_mse=1.161731e-02 val_mse=1.884971e-02 val_cos=0.986457 val_nmse=-15.339dB
epoch=0014 train_mse=1.106354e-02 val_mse=1.863394e-02 val_cos=0.986582 val_nmse=-15.389dB
epoch=0015 train_mse=1.054581e-02 val_mse=1.839868e-02 val_cos=0.986736 val_nmse=-15.445dB
epoch=0016 train_mse=1.008775e-02 val_mse=1.834868e-02 val_cos=0.986767 val_nmse=-15.457dB
epoch=0017 train_mse=9.666127e-03 val_mse=1.806958e-02 val_cos=0.987033 val_nmse=-15.523dB
epoch=0018 train_mse=9.280535e-03 val_mse=1.791197e-02 val_cos=0.987138 val_nmse=-15.561dB
epoch=0019 train_mse=8.956985e-03 val_mse=1.778109e-02 val_cos=0.987193 val_nmse=-15.593dB
epoch=0020 train_mse=8.638661e-03 val_mse=1.750068e-02 val_cos=0.987409 val_nmse=-15.662dB
epoch=0021 train_mse=8.353281e-03 val_mse=1.745397e-02 val_cos=0.987442 val_nmse=-15.674dB
epoch=0022 train_mse=8.080506e-03 val_mse=1.740397e-02 val_cos=0.987465 val_nmse=-15.686dB
epoch=0023 train_mse=7.844804e-03 val_mse=1.726716e-02 val_cos=0.987589 val_nmse=-15.721dB
epoch=0024 train_mse=7.616906e-03 val_mse=1.720999e-02 val_cos=0.987647 val_nmse=-15.735dB
epoch=0025 train_mse=7.404503e-03 val_mse=1.698729e-02 val_cos=0.987805 val_nmse=-15.791dB
