device=cuda
mapper=mlp, params=8403968
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.963899e-01 val_mse=8.573422e-02 val_cos=0.955521 val_nmse=-8.758dB
epoch=0002 train_mse=6.649698e-02 val_mse=5.925435e-02 val_cos=0.966200 val_nmse=-10.364dB
epoch=0003 train_mse=5.243610e-02 val_mse=5.297226e-02 val_cos=0.969693 val_nmse=-10.853dB
epoch=0004 train_mse=4.722646e-02 val_mse=4.928364e-02 val_cos=0.971705 val_nmse=-11.167dB
epoch=0005 train_mse=4.333872e-02 val_mse=4.619976e-02 val_cos=0.973104 val_nmse=-11.448dB
epoch=0006 train_mse=3.913585e-02 val_mse=4.008277e-02 val_cos=0.973737 val_nmse=-12.066dB
epoch=0007 train_mse=3.271509e-02 val_mse=3.626560e-02 val_cos=0.974710 val_nmse=-12.499dB
epoch=0008 train_mse=2.961698e-02 val_mse=3.387902e-02 val_cos=0.976028 val_nmse=-12.795dB
epoch=0009 train_mse=2.756275e-02 val_mse=3.264513e-02 val_cos=0.976718 val_nmse=-12.956dB
epoch=0010 train_mse=2.601087e-02 val_mse=3.150129e-02 val_cos=0.977461 val_nmse=-13.111dB
epoch=0011 train_mse=2.473275e-02 val_mse=3.081946e-02 val_cos=0.977886 val_nmse=-13.206dB
epoch=0012 train_mse=2.361798e-02 val_mse=3.010525e-02 val_cos=0.978389 val_nmse=-13.307dB
epoch=0013 train_mse=2.260537e-02 val_mse=2.917657e-02 val_cos=0.979094 val_nmse=-13.444dB
epoch=0014 train_mse=2.167949e-02 val_mse=2.839858e-02 val_cos=0.979670 val_nmse=-13.561dB
epoch=0015 train_mse=2.093656e-02 val_mse=2.790876e-02 val_cos=0.980010 val_nmse=-13.637dB
epoch=0016 train_mse=2.022099e-02 val_mse=2.759180e-02 val_cos=0.980257 val_nmse=-13.686dB
epoch=0017 train_mse=1.958014e-02 val_mse=2.677241e-02 val_cos=0.980869 val_nmse=-13.817dB
epoch=0018 train_mse=1.898038e-02 val_mse=2.630989e-02 val_cos=0.981216 val_nmse=-13.893dB
epoch=0019 train_mse=1.843353e-02 val_mse=2.598853e-02 val_cos=0.981469 val_nmse=-13.947dB
epoch=0020 train_mse=1.788684e-02 val_mse=2.560767e-02 val_cos=0.981742 val_nmse=-14.011dB
epoch=0021 train_mse=1.743383e-02 val_mse=2.543231e-02 val_cos=0.981848 val_nmse=-14.041dB
epoch=0022 train_mse=1.695826e-02 val_mse=2.496396e-02 val_cos=0.982228 val_nmse=-14.122dB
epoch=0023 train_mse=1.656603e-02 val_mse=2.460708e-02 val_cos=0.982487 val_nmse=-14.184dB
epoch=0024 train_mse=1.617987e-02 val_mse=2.419852e-02 val_cos=0.982800 val_nmse=-14.257dB
epoch=0025 train_mse=1.588586e-02 val_mse=2.387044e-02 val_cos=0.983057 val_nmse=-14.317dB
epoch=0026 train_mse=1.550934e-02 val_mse=2.355334e-02 val_cos=0.983284 val_nmse=-14.374dB
epoch=0027 train_mse=1.518519e-02 val_mse=2.346378e-02 val_cos=0.983353 val_nmse=-14.391dB
epoch=0028 train_mse=1.492933e-02 val_mse=2.325836e-02 val_cos=0.983488 val_nmse=-14.430dB
epoch=0029 train_mse=1.461421e-02 val_mse=2.299873e-02 val_cos=0.983705 val_nmse=-14.478dB
epoch=0030 train_mse=1.436112e-02 val_mse=2.279041e-02 val_cos=0.983848 val_nmse=-14.518dB
epoch=0031 train_mse=1.414541e-02 val_mse=2.261235e-02 val_cos=0.984012 val_nmse=-14.552dB
epoch=0032 train_mse=1.387470e-02 val_mse=2.240398e-02 val_cos=0.984192 val_nmse=-14.593dB
epoch=0033 train_mse=1.364301e-02 val_mse=2.227947e-02 val_cos=0.984249 val_nmse=-14.617dB
epoch=0034 train_mse=1.347518e-02 val_mse=2.189525e-02 val_cos=0.984549 val_nmse=-14.692dB
epoch=0035 train_mse=1.320852e-02 val_mse=2.191446e-02 val_cos=0.984524 val_nmse=-14.689dB
epoch=0036 train_mse=1.301921e-02 val_mse=2.165381e-02 val_cos=0.984727 val_nmse=-14.740dB
epoch=0037 train_mse=1.283922e-02 val_mse=2.149891e-02 val_cos=0.984829 val_nmse=-14.772dB
epoch=0038 train_mse=1.265820e-02 val_mse=2.141785e-02 val_cos=0.984890 val_nmse=-14.788dB
epoch=0039 train_mse=1.250598e-02 val_mse=2.128361e-02 val_cos=0.985010 val_nmse=-14.816dB
epoch=0040 train_mse=1.233873e-02 val_mse=2.110622e-02 val_cos=0.985157 val_nmse=-14.852dB
epoch=0041 train_mse=1.215047e-02 val_mse=2.104546e-02 val_cos=0.985169 val_nmse=-14.864dB
epoch=0042 train_mse=1.199868e-02 val_mse=2.089291e-02 val_cos=0.985290 val_nmse=-14.896dB
epoch=0043 train_mse=1.183283e-02 val_mse=2.069208e-02 val_cos=0.985446 val_nmse=-14.938dB
epoch=0044 train_mse=1.169653e-02 val_mse=2.063431e-02 val_cos=0.985496 val_nmse=-14.950dB
epoch=0045 train_mse=1.156950e-02 val_mse=2.046625e-02 val_cos=0.985618 val_nmse=-14.986dB
epoch=0046 train_mse=1.142796e-02 val_mse=2.028687e-02 val_cos=0.985703 val_nmse=-15.025dB
epoch=0047 train_mse=1.129858e-02 val_mse=2.016922e-02 val_cos=0.985828 val_nmse=-15.050dB
epoch=0048 train_mse=1.115066e-02 val_mse=2.013995e-02 val_cos=0.985846 val_nmse=-15.056dB
epoch=0049 train_mse=1.101936e-02 val_mse=2.003853e-02 val_cos=0.985917 val_nmse=-15.078dB
epoch=0050 train_mse=1.092796e-02 val_mse=2.005570e-02 val_cos=0.985906 val_nmse=-15.075dB
epoch=0051 train_mse=1.079655e-02 val_mse=1.986564e-02 val_cos=0.986061 val_nmse=-15.116dB
epoch=0052 train_mse=1.070863e-02 val_mse=1.978742e-02 val_cos=0.986095 val_nmse=-15.133dB
epoch=0053 train_mse=1.060703e-02 val_mse=1.966758e-02 val_cos=0.986194 val_nmse=-15.159dB
epoch=0054 train_mse=1.047287e-02 val_mse=1.971709e-02 val_cos=0.986148 val_nmse=-15.149dB
epoch=0055 train_mse=1.037195e-02 val_mse=1.954049e-02 val_cos=0.986297 val_nmse=-15.188dB
epoch=0056 train_mse=1.026239e-02 val_mse=1.948319e-02 val_cos=0.986309 val_nmse=-15.200dB
epoch=0057 train_mse=1.018336e-02 val_mse=1.942531e-02 val_cos=0.986357 val_nmse=-15.213dB
epoch=0058 train_mse=1.010326e-02 val_mse=1.932556e-02 val_cos=0.986424 val_nmse=-15.236dB
epoch=0059 train_mse=1.000700e-02 val_mse=1.918340e-02 val_cos=0.986539 val_nmse=-15.268dB
epoch=0060 train_mse=9.926291e-03 val_mse=1.916741e-02 val_cos=0.986563 val_nmse=-15.271dB
epoch=0061 train_mse=9.818136e-03 val_mse=1.905088e-02 val_cos=0.986616 val_nmse=-15.298dB
epoch=0062 train_mse=9.747660e-03 val_mse=1.908921e-02 val_cos=0.986581 val_nmse=-15.289dB
epoch=0063 train_mse=9.654573e-03 val_mse=1.892019e-02 val_cos=0.986757 val_nmse=-15.329dB
epoch=0064 train_mse=9.575724e-03 val_mse=1.885873e-02 val_cos=0.986779 val_nmse=-15.342dB
epoch=0065 train_mse=9.497584e-03 val_mse=1.881971e-02 val_cos=0.986792 val_nmse=-15.351dB
epoch=0066 train_mse=9.425863e-03 val_mse=1.870402e-02 val_cos=0.986866 val_nmse=-15.378dB
epoch=0067 train_mse=9.346086e-03 val_mse=1.869938e-02 val_cos=0.986876 val_nmse=-15.379dB
epoch=0068 train_mse=9.271725e-03 val_mse=1.856842e-02 val_cos=0.986985 val_nmse=-15.410dB
epoch=0069 train_mse=9.201463e-03 val_mse=1.853467e-02 val_cos=0.987007 val_nmse=-15.418dB
epoch=0070 train_mse=9.129853e-03 val_mse=1.836250e-02 val_cos=0.987134 val_nmse=-15.458dB
