device=cuda
mapper=mlp, params=8403968
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.868727e-01 val_mse=8.264433e-02 val_cos=0.957456 val_nmse=-8.917dB
epoch=0002 train_mse=6.492454e-02 val_mse=5.843263e-02 val_cos=0.966670 val_nmse=-10.425dB
epoch=0003 train_mse=5.149687e-02 val_mse=5.226085e-02 val_cos=0.970065 val_nmse=-10.911dB
epoch=0004 train_mse=4.650724e-02 val_mse=4.863514e-02 val_cos=0.972037 val_nmse=-11.224dB
epoch=0005 train_mse=4.271942e-02 val_mse=4.568076e-02 val_cos=0.973235 val_nmse=-11.497dB
epoch=0006 train_mse=3.795504e-02 val_mse=3.923925e-02 val_cos=0.973751 val_nmse=-12.158dB
epoch=0007 train_mse=3.188430e-02 val_mse=3.557724e-02 val_cos=0.975070 val_nmse=-12.582dB
epoch=0008 train_mse=2.901628e-02 val_mse=3.348170e-02 val_cos=0.976246 val_nmse=-12.846dB
epoch=0009 train_mse=2.704619e-02 val_mse=3.206748e-02 val_cos=0.977117 val_nmse=-13.034dB
epoch=0010 train_mse=2.551356e-02 val_mse=3.092258e-02 val_cos=0.977808 val_nmse=-13.191dB
epoch=0011 train_mse=2.428929e-02 val_mse=3.036714e-02 val_cos=0.978152 val_nmse=-13.270dB
epoch=0012 train_mse=2.322413e-02 val_mse=2.955303e-02 val_cos=0.978757 val_nmse=-13.388dB
epoch=0013 train_mse=2.226867e-02 val_mse=2.899777e-02 val_cos=0.979169 val_nmse=-13.471dB
epoch=0014 train_mse=2.144114e-02 val_mse=2.832710e-02 val_cos=0.979665 val_nmse=-13.572dB
epoch=0015 train_mse=2.074794e-02 val_mse=2.762165e-02 val_cos=0.980187 val_nmse=-13.682dB
epoch=0016 train_mse=2.004994e-02 val_mse=2.715466e-02 val_cos=0.980561 val_nmse=-13.756dB
epoch=0017 train_mse=1.946563e-02 val_mse=2.656582e-02 val_cos=0.980970 val_nmse=-13.852dB
epoch=0018 train_mse=1.884783e-02 val_mse=2.609699e-02 val_cos=0.981352 val_nmse=-13.929dB
epoch=0019 train_mse=1.839502e-02 val_mse=2.595654e-02 val_cos=0.981454 val_nmse=-13.953dB
epoch=0020 train_mse=1.790662e-02 val_mse=2.549461e-02 val_cos=0.981780 val_nmse=-14.031dB
epoch=0021 train_mse=1.748420e-02 val_mse=2.533598e-02 val_cos=0.981905 val_nmse=-14.058dB
epoch=0022 train_mse=1.709437e-02 val_mse=2.499243e-02 val_cos=0.982180 val_nmse=-14.117dB
epoch=0023 train_mse=1.672039e-02 val_mse=2.483456e-02 val_cos=0.982256 val_nmse=-14.145dB
epoch=0024 train_mse=1.632772e-02 val_mse=2.435730e-02 val_cos=0.982635 val_nmse=-14.230dB
epoch=0025 train_mse=1.603088e-02 val_mse=2.424496e-02 val_cos=0.982700 val_nmse=-14.249dB
epoch=0026 train_mse=1.572323e-02 val_mse=2.380815e-02 val_cos=0.983040 val_nmse=-14.328dB
epoch=0027 train_mse=1.540522e-02 val_mse=2.363034e-02 val_cos=0.983200 val_nmse=-14.361dB
epoch=0028 train_mse=1.516607e-02 val_mse=2.336332e-02 val_cos=0.983390 val_nmse=-14.411dB
epoch=0029 train_mse=1.485200e-02 val_mse=2.327505e-02 val_cos=0.983455 val_nmse=-14.426dB
epoch=0030 train_mse=1.460254e-02 val_mse=2.313104e-02 val_cos=0.983506 val_nmse=-14.455dB
epoch=0031 train_mse=1.440125e-02 val_mse=2.294695e-02 val_cos=0.983711 val_nmse=-14.490dB
epoch=0032 train_mse=1.416108e-02 val_mse=2.273357e-02 val_cos=0.983870 val_nmse=-14.530dB
epoch=0033 train_mse=1.394639e-02 val_mse=2.248571e-02 val_cos=0.984073 val_nmse=-14.578dB
epoch=0034 train_mse=1.374531e-02 val_mse=2.226465e-02 val_cos=0.984222 val_nmse=-14.620dB
epoch=0035 train_mse=1.348369e-02 val_mse=2.210654e-02 val_cos=0.984332 val_nmse=-14.651dB
epoch=0036 train_mse=1.328380e-02 val_mse=2.189847e-02 val_cos=0.984493 val_nmse=-14.692dB
epoch=0037 train_mse=1.312172e-02 val_mse=2.174165e-02 val_cos=0.984607 val_nmse=-14.723dB
epoch=0038 train_mse=1.297395e-02 val_mse=2.162596e-02 val_cos=0.984679 val_nmse=-14.746dB
epoch=0039 train_mse=1.273548e-02 val_mse=2.162385e-02 val_cos=0.984721 val_nmse=-14.747dB
epoch=0040 train_mse=1.260330e-02 val_mse=2.144512e-02 val_cos=0.984863 val_nmse=-14.783dB
epoch=0041 train_mse=1.242606e-02 val_mse=2.131116e-02 val_cos=0.984926 val_nmse=-14.811dB
epoch=0042 train_mse=1.227828e-02 val_mse=2.115349e-02 val_cos=0.985071 val_nmse=-14.843dB
epoch=0043 train_mse=1.211331e-02 val_mse=2.107766e-02 val_cos=0.985123 val_nmse=-14.859dB
epoch=0044 train_mse=1.195019e-02 val_mse=2.083620e-02 val_cos=0.985330 val_nmse=-14.909dB
epoch=0045 train_mse=1.181593e-02 val_mse=2.076940e-02 val_cos=0.985364 val_nmse=-14.922dB
epoch=0046 train_mse=1.164468e-02 val_mse=2.057746e-02 val_cos=0.985453 val_nmse=-14.963dB
epoch=0047 train_mse=1.151452e-02 val_mse=2.040179e-02 val_cos=0.985621 val_nmse=-15.000dB
epoch=0048 train_mse=1.140582e-02 val_mse=2.042757e-02 val_cos=0.985588 val_nmse=-14.995dB
epoch=0049 train_mse=1.127643e-02 val_mse=2.029511e-02 val_cos=0.985696 val_nmse=-15.023dB
epoch=0050 train_mse=1.113114e-02 val_mse=2.020084e-02 val_cos=0.985762 val_nmse=-15.044dB
epoch=0051 train_mse=1.105692e-02 val_mse=2.002055e-02 val_cos=0.985894 val_nmse=-15.082dB
epoch=0052 train_mse=1.093687e-02 val_mse=2.012290e-02 val_cos=0.985815 val_nmse=-15.061dB
epoch=0053 train_mse=1.080705e-02 val_mse=1.997920e-02 val_cos=0.985919 val_nmse=-15.091dB
epoch=0054 train_mse=1.067664e-02 val_mse=1.989192e-02 val_cos=0.985987 val_nmse=-15.110dB
epoch=0055 train_mse=1.060300e-02 val_mse=1.958804e-02 val_cos=0.986222 val_nmse=-15.178dB
epoch=0056 train_mse=1.046968e-02 val_mse=1.958684e-02 val_cos=0.986215 val_nmse=-15.178dB
epoch=0057 train_mse=1.035671e-02 val_mse=1.955057e-02 val_cos=0.986236 val_nmse=-15.186dB
epoch=0058 train_mse=1.027472e-02 val_mse=1.953729e-02 val_cos=0.986261 val_nmse=-15.189dB
epoch=0059 train_mse=1.021320e-02 val_mse=1.941615e-02 val_cos=0.986353 val_nmse=-15.216dB
epoch=0060 train_mse=1.010035e-02 val_mse=1.936101e-02 val_cos=0.986382 val_nmse=-15.229dB
epoch=0061 train_mse=9.995091e-03 val_mse=1.922964e-02 val_cos=0.986459 val_nmse=-15.258dB
epoch=0062 train_mse=9.918059e-03 val_mse=1.928815e-02 val_cos=0.986414 val_nmse=-15.245dB
epoch=0063 train_mse=9.850379e-03 val_mse=1.904203e-02 val_cos=0.986613 val_nmse=-15.301dB
epoch=0064 train_mse=9.751555e-03 val_mse=1.896781e-02 val_cos=0.986672 val_nmse=-15.318dB
epoch=0065 train_mse=9.664568e-03 val_mse=1.908133e-02 val_cos=0.986568 val_nmse=-15.292dB
epoch=0066 train_mse=9.603062e-03 val_mse=1.890899e-02 val_cos=0.986728 val_nmse=-15.332dB
epoch=0067 train_mse=9.512381e-03 val_mse=1.890789e-02 val_cos=0.986701 val_nmse=-15.332dB
epoch=0068 train_mse=9.430779e-03 val_mse=1.879642e-02 val_cos=0.986801 val_nmse=-15.358dB
epoch=0069 train_mse=9.377275e-03 val_mse=1.871797e-02 val_cos=0.986850 val_nmse=-15.376dB
epoch=0070 train_mse=9.284764e-03 val_mse=1.861240e-02 val_cos=0.986926 val_nmse=-15.401dB
epoch=0071 train_mse=9.239779e-03 val_mse=1.858370e-02 val_cos=0.986959 val_nmse=-15.407dB
epoch=0072 train_mse=9.138810e-03 val_mse=1.843001e-02 val_cos=0.987050 val_nmse=-15.443dB
epoch=0073 train_mse=9.076989e-03 val_mse=1.851526e-02 val_cos=0.987023 val_nmse=-15.424dB
epoch=0074 train_mse=9.047510e-03 val_mse=1.832803e-02 val_cos=0.987141 val_nmse=-15.468dB
epoch=0075 train_mse=8.940934e-03 val_mse=1.842482e-02 val_cos=0.987035 val_nmse=-15.444dB
epoch=0076 train_mse=8.893819e-03 val_mse=1.835715e-02 val_cos=0.987101 val_nmse=-15.460dB
epoch=0077 train_mse=8.813820e-03 val_mse=1.828954e-02 val_cos=0.987158 val_nmse=-15.477dB
epoch=0078 train_mse=8.775744e-03 val_mse=1.815958e-02 val_cos=0.987256 val_nmse=-15.508dB
epoch=0079 train_mse=8.721991e-03 val_mse=1.819529e-02 val_cos=0.987221 val_nmse=-15.499dB
epoch=0080 train_mse=8.655192e-03 val_mse=1.811413e-02 val_cos=0.987293 val_nmse=-15.518dB
epoch=0081 train_mse=8.601479e-03 val_mse=1.813128e-02 val_cos=0.987269 val_nmse=-15.515dB
epoch=0082 train_mse=8.511895e-03 val_mse=1.792998e-02 val_cos=0.987422 val_nmse=-15.563dB
epoch=0083 train_mse=8.482647e-03 val_mse=1.785187e-02 val_cos=0.987469 val_nmse=-15.582dB
epoch=0084 train_mse=8.442390e-03 val_mse=1.785787e-02 val_cos=0.987468 val_nmse=-15.580dB
epoch=0085 train_mse=8.378330e-03 val_mse=1.785554e-02 val_cos=0.987459 val_nmse=-15.581dB
epoch=0086 train_mse=8.323036e-03 val_mse=1.772292e-02 val_cos=0.987573 val_nmse=-15.614dB
epoch=0087 train_mse=8.271550e-03 val_mse=1.778098e-02 val_cos=0.987532 val_nmse=-15.600dB
