device=cuda
mapper=mlp, params=8403968
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=2.460170e-01 val_mse=1.154758e-01 val_cos=0.935168 val_nmse=-7.465dB
epoch=0002 train_mse=8.988690e-02 val_mse=7.876754e-02 val_cos=0.951428 val_nmse=-9.129dB
epoch=0003 train_mse=6.855815e-02 val_mse=6.807805e-02 val_cos=0.958216 val_nmse=-9.763dB
epoch=0004 train_mse=6.019053e-02 val_mse=6.198466e-02 val_cos=0.962297 val_nmse=-10.171dB
epoch=0005 train_mse=5.459234e-02 val_mse=5.777968e-02 val_cos=0.964729 val_nmse=-10.476dB
epoch=0006 train_mse=4.993171e-02 val_mse=5.382778e-02 val_cos=0.966671 val_nmse=-10.784dB
epoch=0007 train_mse=4.421974e-02 val_mse=4.679821e-02 val_cos=0.967935 val_nmse=-11.393dB
epoch=0008 train_mse=3.817990e-02 val_mse=4.346804e-02 val_cos=0.969321 val_nmse=-11.713dB
epoch=0009 train_mse=3.499672e-02 val_mse=4.171906e-02 val_cos=0.970255 val_nmse=-11.892dB
epoch=0010 train_mse=3.269955e-02 val_mse=3.996362e-02 val_cos=0.971344 val_nmse=-12.078dB
epoch=0011 train_mse=3.092586e-02 val_mse=3.883412e-02 val_cos=0.972162 val_nmse=-12.202dB
epoch=0012 train_mse=2.928252e-02 val_mse=3.779852e-02 val_cos=0.972808 val_nmse=-12.320dB
epoch=0013 train_mse=2.795889e-02 val_mse=3.662223e-02 val_cos=0.973711 val_nmse=-12.458dB
epoch=0014 train_mse=2.674139e-02 val_mse=3.574555e-02 val_cos=0.974381 val_nmse=-12.562dB
epoch=0015 train_mse=2.570452e-02 val_mse=3.493556e-02 val_cos=0.974952 val_nmse=-12.662dB
epoch=0016 train_mse=2.473385e-02 val_mse=3.411510e-02 val_cos=0.975585 val_nmse=-12.766dB
epoch=0017 train_mse=2.389090e-02 val_mse=3.349469e-02 val_cos=0.976024 val_nmse=-12.845dB
epoch=0018 train_mse=2.307233e-02 val_mse=3.289743e-02 val_cos=0.976485 val_nmse=-12.924dB
epoch=0019 train_mse=2.240009e-02 val_mse=3.240091e-02 val_cos=0.976863 val_nmse=-12.990dB
