device=cuda
mapper=mlp, params=8403968
train=90000, val=10000, code_dim=512
epoch=0001 train_mse=1.624696e-01 val_mse=6.070012e-02 val_cos=0.973564 val_nmse=-10.258dB
epoch=0002 train_mse=4.792922e-02 val_mse=4.261018e-02 val_cos=0.978931 val_nmse=-11.797dB
epoch=0003 train_mse=3.863427e-02 val_mse=3.857050e-02 val_cos=0.980627 val_nmse=-12.231dB
epoch=0004 train_mse=3.511906e-02 val_mse=3.572559e-02 val_cos=0.981849 val_nmse=-12.564dB
epoch=0005 train_mse=3.204546e-02 val_mse=3.275770e-02 val_cos=0.982509 val_nmse=-12.941dB
epoch=0006 train_mse=2.673512e-02 val_mse=2.586826e-02 val_cos=0.983092 val_nmse=-13.967dB
epoch=0007 train_mse=2.182582e-02 val_mse=2.336979e-02 val_cos=0.983816 val_nmse=-14.407dB
epoch=0008 train_mse=1.970913e-02 val_mse=2.189653e-02 val_cos=0.984537 val_nmse=-14.689dB
epoch=0009 train_mse=1.824567e-02 val_mse=2.068636e-02 val_cos=0.985258 val_nmse=-14.936dB
epoch=0010 train_mse=1.719269e-02 val_mse=2.016082e-02 val_cos=0.985567 val_nmse=-15.048dB
epoch=0011 train_mse=1.636242e-02 val_mse=1.955912e-02 val_cos=0.985965 val_nmse=-15.179dB
epoch=0012 train_mse=1.563034e-02 val_mse=1.902424e-02 val_cos=0.986265 val_nmse=-15.300dB
epoch=0013 train_mse=1.502680e-02 val_mse=1.861810e-02 val_cos=0.986553 val_nmse=-15.393dB
epoch=0014 train_mse=1.449325e-02 val_mse=1.823060e-02 val_cos=0.986808 val_nmse=-15.485dB
epoch=0015 train_mse=1.399234e-02 val_mse=1.785362e-02 val_cos=0.987092 val_nmse=-15.576dB
epoch=0016 train_mse=1.359745e-02 val_mse=1.777929e-02 val_cos=0.987168 val_nmse=-15.594dB
epoch=0017 train_mse=1.320776e-02 val_mse=1.731391e-02 val_cos=0.987502 val_nmse=-15.709dB
epoch=0018 train_mse=1.283374e-02 val_mse=1.713502e-02 val_cos=0.987617 val_nmse=-15.754dB
epoch=0019 train_mse=1.252145e-02 val_mse=1.693203e-02 val_cos=0.987781 val_nmse=-15.806dB
epoch=0020 train_mse=1.221003e-02 val_mse=1.677067e-02 val_cos=0.987897 val_nmse=-15.848dB
