path,relative_path,exp_dir,mapper,align_tag,source_exp,code_file,n,mse_loss,error_sum,power_sum,nmse_linear,nmse_db,error
mapper/exps/delta_mlp/alignaffine_condsource_start_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code.pt,exps/delta_mlp/alignaffine_condsource_start_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code.pt,mapper/exps/delta_mlp/alignaffine_condsource_start_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,delta_mlp,alignaffine_condsource_start_scale1.0,seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code.pt,100000,1.7735644932690775e-06,363.22601318359375,92451.2109375,0.003928840160369873,-24.057357788085938,
mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/flow/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,flow,alignaffine_condstart_scale1.0,seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,3.0960036184114868e-06,634.0616455078125,92451.2109375,0.006858338136225939,-21.6378116607666,
mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/flow/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,flow,alignaffine_condstart_scale1.0,seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,3.1331009953282774e-06,641.6590576171875,92451.2109375,0.006940515246242285,-21.586084365844727,
mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_csinet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/flow/alignaffine_condstart_scale1.0/seed2026_csinet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_csinet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,flow,alignaffine_condstart_scale1.0,seed2026_csinet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,3.6011119071190477e-06,737.5079345703125,92451.2109375,0.007977266795933247,-20.981460571289062,
mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/flow/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/flow/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,flow,alignaffine_condstart_scale1.0,seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,2.6369472047372255e-06,540.0468139648438,92451.2109375,0.005841425154358149,-22.33481216430664,
mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/hybrid/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,hybrid,alignaffine_condstart_scale1.0,seed2026_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,7.728927272546571e-07,158.28842163085938,92451.2109375,0.0017121292185038328,-27.664634704589844,
mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_mse.pt,exps/hybrid/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_mse.pt,mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,hybrid,alignaffine_condstart_scale1.0,seed2026_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_mse.pt,100000,7.766889075173821e-07,159.06591796875,92451.2109375,0.0017205390613526106,-27.643354415893555,
mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code.pt,exps/hybrid/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code.pt,mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,hybrid,alignaffine_condstart_scale1.0,seed2026_transnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code.pt,100000,6.972890116594499e-07,142.80477905273438,92451.2109375,0.0015446501784026623,-28.111698150634766,
mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed3407_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,exps/hybrid/alignaffine_condstart_scale1.0/seed3407_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_loss.pt,mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed3407_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,hybrid,alignaffine_condstart_scale1.0,seed3407_clnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_loss.pt,100000,7.828643035645655e-07,160.33059692382812,92451.2109375,0.0017342184437438846,-27.608963012695312,
mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed3407_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_mse.pt,exps/hybrid/alignaffine_condstart_scale1.0/seed3407_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400/codewords/mapped_code_best_mse.pt,mapper/exps/hybrid/alignaffine_condstart_scale1.0/seed3407_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,hybrid,alignaffine_condstart_scale1.0,seed3407_crnet_transnet_to_seed42_transnet_sl10.0_st0.0r0.2_dt0.0r0.05_white0.0_rec0.0_recT0.0_fc0.0_decTail0.0r0.2_cos0.0_cov0.0_lr5e-4_ep400,mapped_code_best_mse.pt,100000,8.716429139167303e-07,178.51251220703125,92451.2109375,0.0019308833871036768,-27.142440795898438,
