mapper,exp,source,mapped_path,raw_pca_top1_energy,raw_pca_top10_energy,raw_pca_top50_energy,raw_pca_top128_energy,raw_pca_low256_energy,raw_mahal_mean,raw_mahal_p95,raw_mahal_p99,mapped_pca_top1_energy,mapped_pca_top10_energy,mapped_pca_top50_energy,mapped_pca_top128_energy,mapped_pca_low256_energy,mapped_mahal_mean,mapped_mahal_p95,mapped_mahal_p99,fc_weighted_mse,fc_top50_dim_mse,fc_low50_dim_mse,fc_sens_dim_mse_corr,nn_l2_mean,nn_l2_p50,nn_l2_p95,nn_l2_p99,decoder_nmse_global,decoder_recT_mse,sample_nmse_mean,sample_nmse_p50,sample_nmse_p90,sample_nmse_p95,sample_nmse_p99,sample_nmse_max,sample_teacher_nmse_mean,sample_teacher_nmse_p50,sample_teacher_nmse_p90,sample_teacher_nmse_p95,sample_teacher_nmse_p99,sample_teacher_nmse_max,sample_recT_mse_mean,sample_recT_mse_p50,sample_recT_mse_p90,sample_recT_mse_p95,sample_recT_mse_p99,sample_recT_mse_max,decoder_sample_gap_p95,decoder_sample_gap_p99,decoder_sample_tail_gt_teacher_p95,decoder_sample_nmse_png,mapped_residual_qq_png
flow,seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_transnet_transnet,mapper/exps/flow/seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.04245101287961006,0.13951022922992706,0.3374783992767334,0.5081213712692261,0.31530097126960754,412831.09375,612611.4375,737438.625,0.002561707980930805,0.01956731453537941,0.10548101365566254,0.3198833167552948,0.375138521194458,893.38525390625,2044.55224609375,3343.046630859375,0.00686873123049736,0.007273278199136257,0.006521112285554409,0.2654750347137451,11.480964660644531,12.662897109985352,19.29477310180664,22.57839584350586,-23.190204620361328,1.626552155939862e-06,-24.301725387573242,-24.270442962646484,-21.01654624938965,-19.895252227783203,-16.704477310180664,-7.924027919769287,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.6265520343949902e-06,1.2437942586984718e-06,2.5054866910068085e-06,3.405768666198128e-06,1.085500480257906e-05,0.0001515367766842246,4.6715850830078125,5.687259674072266,0.546500027179718,mapper/reports/mapper_advanced_analysis/figures/flow_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/flow_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
hybrid,seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_clnet_transnet,mapper/exps/hybrid/seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.05751589313149452,0.175339013338089,0.39556071162223816,0.5708725452423096,0.2752029597759247,318378.875,460249.875,558528.375,0.015450459904968739,0.037811584770679474,0.13413608074188232,0.36141911149024963,0.3187403678894043,560.5639038085938,1759.9827880859375,3344.12646484375,0.004607637412846088,0.004501079209148884,0.003808662062510848,-0.0031958334147930145,11.259756088256836,12.5071439743042,19.03361701965332,21.750829696655273,-24.029327392578125,1.2257316638715566e-06,-25.839445114135742,-26.228927612304688,-22.132129669189453,-20.26097869873047,-15.795724868774414,-3.4620399475097656,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.2257316939212615e-06,5.704412728846364e-07,1.7071504316845676e-06,3.504509095364483e-06,1.433478064427618e-05,0.00031654752092435956,4.305858612060547,6.596012115478516,0.2782000005245209,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
hybrid,seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_crnet_transnet,mapper/exps/hybrid/seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.06441876292228699,0.18685130774974823,0.42647403478622437,0.6047739386558533,0.25335493683815,277552.34375,378321.15625,446980.9375,0.01452647428959608,0.03425905108451843,0.13417436182498932,0.3719692826271057,0.31257280707359314,542.23291015625,1717.4681396484375,3304.816650390625,0.004778875038027763,0.004726814571768045,0.004039526917040348,-0.0008471290930174291,11.33255672454834,12.668384552001953,19.283432006835938,22.00717544555664,-23.892929077148438,1.2886142148636282e-06,-25.678569793701172,-26.079792022705078,-22.05068016052246,-20.134653091430664,-15.606938362121582,-3.6384968757629395,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.2886141576018417e-06,6.1012997321086e-07,1.7414629382983549e-06,3.5893388030672213e-06,1.5035008800623473e-05,0.00030393004999496043,4.432184219360352,6.784798622131348,0.2906000018119812,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
hybrid,seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_csinet_transnet,mapper/exps/hybrid/seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.029220236465334892,0.09396447986364365,0.2395797222852707,0.3993821144104004,0.39557546377182007,810290.3125,1453673.5,1911064.875,0.015870021656155586,0.03767518326640129,0.14131395518779755,0.38312670588493347,0.2962011396884918,672.5516967773438,2022.6768798828125,3668.597412109375,0.006727005820721388,0.006502377334982157,0.005606247112154961,-0.02372005581855774,11.448391914367676,12.572969436645508,19.299551010131836,22.040077209472656,-22.235675811767578,2.1427183726336806e-06,-24.25153923034668,-24.715848922729492,-20.455991744995117,-18.172040939331055,-13.719355583190918,-2.050334930419922,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,2.142718358300044e-06,9.449988738197135e-07,3.4273566598130856e-06,6.741346624039579e-06,2.4054284949670546e-05,0.0004008974938187748,6.394796371459961,8.672381401062012,0.47593000531196594,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
hybrid,seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_transnet_transnet,mapper/exps/hybrid/seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.04245101287961006,0.13951022922992706,0.3374783992767334,0.5081213712692261,0.31530097126960754,412831.09375,612611.4375,737438.625,0.004487347789108753,0.022624049335718155,0.10736490041017532,0.3186717927455902,0.38479986786842346,603.3866577148438,1943.8726806640625,3660.552978515625,0.0030982275493443012,0.0028981578070670366,0.006230102851986885,-0.10261640697717667,11.47536849975586,12.733537673950195,19.215810775756836,22.157146453857422,-25.38762664794922,7.548671183758416e-07,-27.056020736694336,-27.376953125,-23.046419143676758,-21.4820556640625,-17.8935546875,-9.856133460998535,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,7.548671874246793e-07,3.762292521969357e-07,1.1892138900293503e-06,2.209427066190983e-06,7.9318024290842e-06,9.286000567954034e-05,3.0847816467285156,4.49818229675293,0.19460999965667725,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/hybrid_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
mlp,seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_clnet_transnet,mapper/exps/mlp/seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.05751589313149452,0.175339013338089,0.39556071162223816,0.5708725452423096,0.2752029597759247,318378.875,460249.875,558528.375,0.014652781188488007,0.033572886139154434,0.11730220913887024,0.33367228507995605,0.36569249629974365,635.6370239257812,2004.58447265625,3713.107421875,0.004717303439974785,0.00475920969620347,0.007446599658578634,-0.08036847412586212,11.408209800720215,12.60384750366211,19.173940658569336,22.02117156982422,-24.07688331604004,1.2128066504374146e-06,-25.409378051757812,-25.427555084228516,-21.886028289794922,-20.736268997192383,-17.617982864379883,-5.31557035446167,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.2128067510275287e-06,8.282307248919096e-07,1.9479571164993104e-06,2.757831452981918e-06,8.472824447380845e-06,0.00020807108376175165,3.830568313598633,4.773754119873047,0.37512001395225525,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_clnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
mlp,seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_crnet_transnet,mapper/exps/mlp/seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.06441876292228699,0.18685130774974823,0.42647403478622437,0.6047739386558533,0.25335493683815,277552.34375,378321.15625,446980.9375,0.013691134750843048,0.030064580962061882,0.11045985668897629,0.33290421962738037,0.3540792465209961,646.3319091796875,2025.2774658203125,3754.872802734375,0.004732918459922075,0.0048345099203288555,0.007479786407202482,-0.0786825641989708,11.388700485229492,12.538223266601562,19.09812355041504,22.189361572265625,-24.139495849609375,1.1962924833642318e-06,-25.569509506225586,-25.58551025390625,-21.944561004638672,-20.768117904663086,-17.603702545166016,-4.124904155731201,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.196292487293249e-06,7.95858568380936e-07,1.926664708662429e-06,2.791138740576571e-06,8.517315109202173e-06,0.0002741810167208314,3.7987194061279297,4.788034439086914,0.35826000571250916,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_crnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
mlp,seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_csinet_transnet,mapper/exps/mlp/seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.029220236465334892,0.09396447986364365,0.2395797222852707,0.3993821144104004,0.39557546377182007,810290.3125,1453673.5,1911064.875,0.012401497922837734,0.032308392226696014,0.11996913701295853,0.35568907856941223,0.3197261095046997,609.6524658203125,1877.10546875,3610.598876953125,0.006453950889408588,0.006501034367829561,0.005615103989839554,0.0015136870788410306,11.42520809173584,12.633316993713379,19.331031799316406,22.153898239135742,-22.656068801879883,1.8941571668256075e-06,-24.067644119262695,-24.201412200927734,-20.82884407043457,-19.409217834472656,-15.328165054321289,-2.515758514404297,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.89415709428431e-06,1.2064243719578371e-06,2.8528231723612407e-06,4.4622634050028864e-06,1.5946079656714574e-05,0.0002798735222313553,5.157619476318359,7.063571929931641,0.5599700212478638,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_csinet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
mlp,seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed2026_transnet_transnet,mapper/exps/mlp/seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.04245101287961006,0.13951022922992706,0.3374783992767334,0.5081213712692261,0.31530097126960754,412831.09375,612611.4375,737438.625,0.005842985585331917,0.024685386568307877,0.10752148926258087,0.31573882699012756,0.39137646555900574,617.6136474609375,1946.7276611328125,3656.2998046875,0.0039105890318751335,0.0038769785314798355,0.006456693634390831,-0.0877232626080513,11.399073600769043,12.706825256347656,19.237674713134766,22.050533294677734,-24.764781951904297,9.77448596386239e-07,-26.095874786376953,-26.024959564208984,-22.42577362060547,-21.312210083007812,-18.589529037475586,-8.657184600830078,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,9.77448621597432e-07,6.965329930608277e-07,1.649333285058674e-06,2.309908495590207e-06,6.4849168666114565e-06,0.00014431815361604095,3.254627227783203,3.8022079467773438,0.3017899990081787,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/mlp_seed2026_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
mlp,seed3407_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400,seed3407_transnet_transnet,mapper/exps/mlp/seed3407_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400/mapped_code.pt,0.049679748713970184,0.1460815966129303,0.34252995252609253,0.515205442905426,0.31068745255470276,414370.28125,562064.5,658296.5,0.003941852133721113,0.023940347135066986,0.10992413014173508,0.330986887216568,0.3657335042953491,657.1477661132812,2060.667236328125,3861.79248046875,0.0044386363588273525,0.004371091723442078,0.007416882552206516,-0.08692645281553268,11.372982025146484,12.571880340576172,19.284273147583008,22.065494537353516,-24.298131942749023,1.1351211019791662e-06,-25.578519821166992,-25.5377140045166,-22.010459899902344,-20.928361892700195,-18.16921615600586,-9.625683784484863,-31.291868209838867,-31.196014404296875,-25.837871551513672,-24.566837310791016,-22.39173698425293,-14.999432563781738,1.1351211242072168e-06,8.063977361416619e-07,1.935662567120744e-06,2.677427801245358e-06,7.500742867705412e-06,0.0001128604490077123,3.6384754180908203,4.22252082824707,0.3630099892616272,mapper/reports/mapper_advanced_analysis/figures/mlp_seed3407_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_decoder_sample_nmse.png,mapper/reports/mapper_advanced_analysis/figures/mlp_seed3407_transnet_transnet_to_seed42_transnet_code_mse0.0_cov0.0_lr5e-4_ep400_mapped_residual_qq.png
