dist,sigma,code_mse,code_rmse,code_mae,noise_std_empirical,recon_mse,nmse_linear,nmse_db,gap_db
gaussian,0.0,0.0,0.0,0.0,0.0,5.549547074406291e-07,0.00122934824321419,-29.10325050354004,0.0
gaussian,0.005,2.4999581000884064e-05,0.004999957978725433,0.003989032469689846,0.004999957978725433,5.597295012194081e-07,0.0012399251572787762,-29.0660457611084,0.037204742431640625
gaussian,0.01,9.997764573199674e-05,0.009998882189393044,0.00797800999134779,0.009998882189393044,5.740159436572867e-07,0.0012715725461021066,-28.956588745117188,0.14666175842285156
gaussian,0.015,0.0002249862882308662,0.014999543316662312,0.011967566795647144,0.014999542385339737,5.979353349175654e-07,0.001324559678323567,-28.779285430908203,0.32396507263183594
gaussian,0.02,0.00040004902984946966,0.020001225173473358,0.01595941372215748,0.020001225173473358,6.31470280513895e-07,0.0013988467399030924,-28.542299270629883,0.5609512329101562
gaussian,0.025,0.0006249658763408661,0.024999316781759262,0.019945910200476646,0.024999316781759262,6.744389595951361e-07,0.00149403209798038,-28.25640106201172,0.8468494415283203
gaussian,0.03,0.0008999023702926934,0.029998373240232468,0.02393527515232563,0.029998373240232468,7.269983735204733e-07,0.001610462786629796,-27.930492401123047,1.1727581024169922
gaussian,0.035,0.0012245092075318098,0.03499298915266991,0.02792012132704258,0.03499298542737961,7.896152839566639e-07,0.0017491733888164163,-27.571670532226562,1.5315799713134766
gaussian,0.04,0.0015999393071979284,0.03999924287199974,0.03191504254937172,0.03999923914670944,8.617641236560302e-07,0.001908999402076006,-27.191944122314453,1.911306381225586
gaussian,0.045,0.00202545546926558,0.045005060732364655,0.03591081127524376,0.045005060732364655,9.441966862868867e-07,0.002091605681926012,-26.79520034790039,2.3080501556396484
gaussian,0.05,0.0025008060038089752,0.05000805854797363,0.03989945724606514,0.05000805854797363,1.0364392777410103e-06,0.0022959429770708084,-26.39038848876953,2.712862014770508
gaussian,0.06,0.003599726827815175,0.05999772250652313,0.047868937253952026,0.05999772623181343,1.2509172702630168e-06,0.0027710602153092623,-25.57354164123535,3.5297088623046875
gaussian,0.07,0.0048990254290401936,0.0699930414557457,0.055844202637672424,0.0699930340051651,1.5071202152466868e-06,0.0033386063296347857,-24.76434898376465,4.338901519775391
gaussian,0.08,0.006398993544280529,0.07999370992183685,0.06382352858781815,0.07999370992183685,1.8055163555618493e-06,0.0039996192790567875,-23.979814529418945,5.123435974121094
laplace,0.0,0.0,0.0,0.0,0.0,5.549547074406291e-07,0.00122934824321419,-29.10325050354004,0.0
laplace,0.005,2.5006229407154024e-05,0.005000622943043709,0.0035359698813408613,0.005000622943043709,5.597274647152517e-07,0.0012399207334965467,-29.066062927246094,0.03718757629394531
laplace,0.01,0.00010001621558330953,0.010000810958445072,0.007071898318827152,0.010000810027122498,5.740393768610374e-07,0.001271624700166285,-28.956411361694336,0.14683914184570312
laplace,0.015,0.00022508029360324144,0.015002676285803318,0.010609711520373821,0.015002676285803318,5.980197243843577e-07,0.001324746641330421,-28.778671264648438,0.32457923889160156
laplace,0.02,0.00039994801045395434,0.019998699426651,0.014141448773443699,0.019998699426651,6.312422683004116e-07,0.001398341846652329,-28.543869018554688,0.5593814849853516
laplace,0.025,0.0006252266466617584,0.02500453218817711,0.017681527882814407,0.02500453218817711,6.744310750764271e-07,0.001494014635682106,-28.256452560424805,0.8467979431152344
laplace,0.03,0.0008997656987048686,0.029996095225214958,0.021210884675383568,0.02999609336256981,7.272436434686824e-07,0.0016110062133520842,-27.92902946472168,1.1742210388183594
laplace,0.035,0.0012249359861016273,0.03499908372759819,0.02474900148808956,0.03499908745288849,7.8940498029624e-07,0.0017487072618678212,-27.572830200195312,1.5304203033447266
laplace,0.04,0.0015997268492355943,0.03999658674001694,0.028282394632697105,0.03999658674001694,8.61593664267275e-07,0.0019086214015260339,-27.19280242919922,1.9104480743408203
laplace,0.045,0.002024326240643859,0.044992513954639435,0.0318184457719326,0.044992513954639435,9.435131470672787e-07,0.0020900911185890436,-26.79834747314453,2.304903030395508
laplace,0.05,0.002500467002391815,0.05000466853380203,0.03536086902022362,0.05000467225909233,1.0363851759757382e-06,0.0022958237677812576,-26.390613555908203,2.712636947631836
laplace,0.06,0.003601284231990576,0.060010701417922974,0.04243062436580658,0.060010697692632675,1.2515924500257824e-06,0.0027725552208721638,-25.57120132446289,3.5320491790771484
laplace,0.07,0.004902065731585026,0.07001475244760513,0.04950953647494316,0.07001475989818573,1.5082094005992985e-06,0.0033410186879336834,-24.761211395263672,4.342039108276367
laplace,0.08,0.006398553028702736,0.07999095320701599,0.05655830726027489,0.07999095320701599,1.8055887861919473e-06,0.003999779932200909,-23.97964096069336,5.12360954284668
